raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.91850981122212	0.326975982224	down	['345', '11160', '10613', '2329', '672', '3638', '634', '207']		False		False	False	345;11160;10613;2329;672;3638;634;207	True		qval	True	missing	False	42	True	8	0	0				0	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_METABOLIC_PROCESS	evidence_perturb	True	4116	True	False	1		0.96875	62	64	computed	0.96875	ff30d2855710	0.96875	0.46875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9140625	0.9140625	1.0	0.96875	True	ok	off		Mbfa8b6e0d29d	False	0.703125	1444.0	1444.0	term_survival:min
1	GOBP_GLIAL_CELL_PROLIFERATION	GOBP_GLIAL_CELL_PROLIFERATION	fgsea_msigdb_C5_GO_BP_entrez	1.90508129637257	0.326975982224	up	['3418', '1385', '5179', '6659', '4774', '7957', '4204', '1869', '3953', '2670', '3845', '5501', '6833', '1191', '6376', '5925', '1436', '4781', '4693', '7124', '4067', '9921', '5583', '1435', '3569', '4771', '7424', '2629', '4049']		False		False	False	3418;1385;5179;6659;4774;7957;4204;1869;3953;2670;3845;5501;6833;1191;6376;5925;1436;4781;4693;7124;4067;9921;5583;1435;3569;4771;7424;2629;4049	True		qval	True	missing	False	42	True	30	1	1	1938	EEF2		1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLIAL_CELL_PROLIFERATION	evidence_perturb	True	4116	True	False	1		0.953125	61	64	computed	0.953125	42a3a642284d	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8723958333333334	0.9024784482758621	0.9630854040794774	0.953125	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
2	GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	fgsea_msigdb_C5_GO_BP_entrez	1.90200589205781	0.326975982224	up	['9052', '3586', '10268', '4988']		False		False	False	9052;3586;10268;4988	True		qval	True	missing	False	42	True	4	0	0				2	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	evidence_perturb	True	4116	True	False	1		0.96875	62	64	computed	0.96875	b20bd03daf28	0.96875	0.328125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.91015625	0.91015625	1.0	0.96875	True	ok	off		M601ecc83e4a6	False	0.96875	1.0	1.0	term_survival:min
3	GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.83643351655844	0.326975982224	up	['10673', '3586', '1141', '7292', '3574', '7494', '10459', '100', '572', '940', '3565', '10451']		False		False	False	10673;3586;1141;7292;3574;7494;10459;100;572;940;3565;10451	True		qval	True	missing	False	42	True	12	0	0				3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	evidence_perturb	True	4116	True	False	1		0.875	56	64	computed	0.875	4729d1cc1215	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.828125	0.8971354166666667	0.914183602855478	0.875	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
4	GOBP_REGULATION_OF_B_CELL_ACTIVATION	GOBP_REGULATION_OF_B_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.77629047419974	0.326975982224	up	['10673', '3586', '1141', '3398', '7292', '3574', '7494', '10459', '100', '7805', '572', '3149', '940', '3565', '9473', '677', '10451', '472', '6830', '5074', '7305']		False		False	False	10673;3586;1141;3398;7292;3574;7494;10459;100;7805;572;3149;940;3565;9473;677;10451;472;6830;5074;7305	True		qval	True	missing	False	42	True	21	0	0				4	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_B_CELL_ACTIVATION	evidence_perturb	True	4116	True	False	1		0.890625	57	64	computed	0.890625	8d0f8c5b1aee	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8536931818181818	0.8943452380952381	0.9491604081574816	0.890625	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
5	GOBP_B_CELL_DIFFERENTIATION	GOBP_B_CELL_DIFFERENTIATION	fgsea_msigdb_C5_GO_BP_entrez	1.65091833863718	0.326975982224	up	['10673', '3586', '3398', '3578', '3574', '7494', '10892', '5897', '100', '7805', '572', '7528', '3149', '3565', '3589', '1316', '3815', '677', '7922', '6670', '472', '292', '602', '1380', '8503', '2323', '7412', '5293']		False		False	False	10673;3586;3398;3578;3574;7494;10892;5897;100;7805;572;7528;3149;3565;3589;1316;3815;677;7922;6670;472;292;602;1380;8503;2323;7412;5293	True		qval	True	missing	False	42	True	28	0	0				5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_B_CELL_DIFFERENTIATION	evidence_perturb	True	4116	True	False	1		0.953125	61	64	computed	0.953125	4ae1a43e2056	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8766163793103448	0.9079241071428572	0.9620502657420527	0.953125	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
6	GOBP_CELL_KILLING	GOBP_CELL_KILLING	fgsea_msigdb_C5_GO_BP_entrez	1.57052228015433	0.326975982224	up	['3575', '3916', '1604', '3586', '3251', '2013', '2214', '3122', '10870', '3799', '5473', '6355', '2921', '8772', '2999', '563', '6863', '10666', '6845', '1670', '5052', '11151', '3565', '3589', '1667', '9103', '177', '3606', '383', '1668', '1673', '1512', '3684', '3594', '4068', '7305', '913', '2597', '2633', '3576', '922', '1669', '5443', '10850', '1524', '1773', '735', '566', '3635', '2213', '11334', '909']		False		False	False	3575;3916;1604;3586;3251;2013;2214;3122;10870;3799;5473;6355;2921;8772;2999;563;6863;10666;6845;1670;5052;11151;3565;3589;1667;9103;177;3606;383;1668;1673;1512;3684;3594;4068;7305;913;2597;2633;3576;922;1669;5443;10850;1524;1773;735;566;3635;2213;11334;909	True		qval	True	missing	False	42	True	54	2	2	3500;3107	IGHG1;HLA-C		6	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELL_KILLING	evidence_perturb	True	4116	True	False	1		0.96875	62	64	computed	0.96875	5c90f6425724	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.843465909090909	0.892127403846154	0.9391433167160934	0.96875	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
7	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	fgsea_msigdb_C5_GO_BP_entrez	1.55798532449858	0.326975982224	up	['10673', '9021', '3598', '3575', '1604', '3572', '3586', '3251', '2013', '2214', '3581', '3578', '3122', '7292', '924', '5245', '10892', '8772', '10459', '563', '100', '10666', '940', '10068', '3565', '9103', '1178', '177', '3606', '3543', '710', '383', '3142', '7454', '4683', '3426', '6095', '1512', '6830', '602', '10538', '3594', '8767', '1380', '913']		False		False	False	10673;9021;3598;3575;1604;3572;3586;3251;2013;2214;3581;3578;3122;7292;924;5245;10892;8772;10459;563;100;10666;940;10068;3565;9103;1178;177;3606;3543;710;383;3142;7454;4683;3426;6095;1512;6830;602;10538;3594;8767;1380;913	True		qval	True	missing	False	42	True	49	4	4	3503;3501;3500;3107	IGHG4;IGHG2;IGHG1;HLA-C		7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	evidence_perturb	True	4116	True	False	1		0.984375	63	64	computed	0.984375	3193bec1a06d	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8547207446808511	0.8927083333333334	0.9524854330506904	0.984375	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
8	GOBP_LEUKOCYTE_PROLIFERATION	GOBP_LEUKOCYTE_PROLIFERATION	fgsea_msigdb_C5_GO_BP_entrez	1.52117666374484	0.326975982224	up	['10673', '7001', '3568', '3575', '1604', '3572', '3586', '3251', '1141', '3659', '2013', '2214', '3578', '923', '7292', '3574', '10892', '6355', '10467', '8772', '5897', '1437', '100', '7805', '6863', '4352', '3479', '940', '11151', '3565', '8440', '3988', '3815', '1178', '177', '3606', '10451', '5322', '383', '6541', '472', '5074', '3594', '6869', '8767', '1380', '7305', '2323', '1401', '5573', '944', '7412', '3485', '7037', '3481']		False		False	False	10673;7001;3568;3575;1604;3572;3586;3251;1141;3659;2013;2214;3578;923;7292;3574;10892;6355;10467;8772;5897;1437;100;7805;6863;4352;3479;940;11151;3565;8440;3988;3815;1178;177;3606;10451;5322;383;6541;472;5074;3594;6869;8767;1380;7305;2323;1401;5573;944;7412;3485;7037;3481	True		qval	True	missing	False	42	True	55	0	0				8	fgsea_msigdb_C5_GO_BP_entrez:GOBP_LEUKOCYTE_PROLIFERATION	evidence_perturb	True	4116	True	False	1		1.0	64	64	computed	1.0	c96aa0daebb7	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8485991379310345	0.8948863636363635	0.9424651661047374	1.0	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
9	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.50085102971499	0.326975982224	up	['10673', '3120', '3575', '8289', '1604', '3572', '3586', '7525', '1141', '2214', '6602', '923', '3122', '7292', '3574', '7494', '3603', '10892', '8772', '101', '10459', '6659', '100', '6598', '6863', '10666', '4352', '572', '3479', '3932', '940', '2815', '11151', '3565', '6403', '8440', '6599', '177', '3606', '10451', '3142', '6541', '3594', '6869', '8767', '7305', '2323', '2309', '5395', '7412', '5293', '3485', '7037', '3481', '5170', '5105', '3127', '6461', '1445', '3635', '6604']		False		False	False	10673;3120;3575;8289;1604;3572;3586;7525;1141;2214;6602;923;3122;7292;3574;7494;3603;10892;8772;101;10459;6659;100;6598;6863;10666;4352;572;3479;3932;940;2815;11151;3565;6403;8440;6599;177;3606;10451;3142;6541;3594;6869;8767;7305;2323;2309;5395;7412;5293;3485;7037;3481;5170;5105;3127;6461;1445;3635;6604	True		qval	True	missing	False	42	True	63	2	2	10808;3727	HSPH1;JUND		9	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	evidence_perturb	True	4116	True	False	1		0.984375	63	64	computed	0.984375	697715d1edc2	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.849853515625	0.8916495901639344	0.9476158283085304	0.984375	True	ok	off		Mba89d6fc67e6	False	0.75	1548.0	1548.0	term_survival:min
