term_uid	module_id
fgsea_msigdb_C5_GO_BP_entrez:GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	Mb6a336453c4c
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACETYL_COA_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACIDIC_AMINO_ACID_TRANSPORT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACID_SECRETION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACROSOME_REACTION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_ORGANIZATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_POLYMERIZATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_NUCLEATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTION_POTENTIAL	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATED_T_CELL_PROLIFERATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_INFLAMMATORY_RESPONSE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_PHASE_RESPONSE	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACYLGLYCEROL_HOMEOSTASIS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACYL_COA_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_IMMUNE_RESPONSE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_THERMOGENESIS	M0eaf8dfd5962
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADHERENS_JUNCTION_ORGANIZATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADIPOSE_TISSUE_DEVELOPMENT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADRENAL_GLAND_DEVELOPMENT	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADULT_BEHAVIOR	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADULT_LOCOMOTORY_BEHAVIOR	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AEROBIC_RESPIRATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_CATABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_METABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALDEHYDE_METABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMELOGENESIS	Md6b52ca4b202
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_BIOSYNTHETIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_TRANSPORT	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_BIOSYNTHETIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_METABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_TRANSPORT	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_ACTIVATION	M1545511f6a30
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_CATABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_TRANSPORT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_SUGAR_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMMONIUM_ION_METABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMP_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_CLEARANCE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_FORMATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_FIBRIL_FORMATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	Mc69aa5aa8fa4
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANATOMICAL_STRUCTURE_MATURATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANDROGEN_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_FORMATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_MATURATION	M25feea7f315e
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_REGENERATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANOIKIS	M6e74a0340acd
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTEROGRADE_AXONAL_TRANSPORT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	M73ab9f40e4a2
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB	M7042b80e2092
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AORTA_DEVELOPMENT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AORTA_MORPHOGENESIS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AORTIC_VALVE_MORPHOGENESIS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APICAL_JUNCTION_ASSEMBLY	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APOPTOTIC_CELL_CLEARANCE	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APOPTOTIC_SIGNALING_PATHWAY	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APPENDAGE_DEVELOPMENT	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_APPENDAGE_MORPHOGENESIS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ARACHIDONATE_METABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ARACHIDONATE_SECRETION	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ARGININE_METABOLIC_PROCESS	Mbfa8b6e0d29d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	Mba89d6fc67e6
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS	Mba89d6fc67e6
