raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	GOBP_EMBRYONIC_AXIS_SPECIFICATION	GOBP_EMBRYONIC_AXIS_SPECIFICATION	fgsea_msigdb_C5_GO_BP_entrez	1.98428498355599	0.508338940849497	up	['5046', '7476', '10959', '4091', '6926', '10409', '9573', '7474', '5727', '6911', '3234', '7855', '4089', '7471']		False		False	False	5046;7476;10959;4091;6926;10409;9573;7474;5727;6911;3234;7855;4089;7471	True		qval	True	missing	False	42	True	14	0	0	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_AXIS_SPECIFICATION	evidence_perturb	True	4262	True	False	1		0.890625	57	64	computed	0.890625	5848b8293347	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8552083333333333	0.9162946428571428	0.9272539960039962	0.890625	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
1	GOBP_POSITIVE_CHEMOTAXIS	GOBP_POSITIVE_CHEMOTAXIS	fgsea_msigdb_C5_GO_BP_entrez	1.90164826068883	0.508338940849497	up	['3576', '5228', '9048', '6347', '9037', '351', '8846', '177', '3791', '4916', '3146', '284', '11151', '1012', '7474', '1673', '7477', '8829', '2255', '3082', '1901', '2277', '6275']		False		False	False	3576;5228;9048;6347;9037;351;8846;177;3791;4916;3146;284;11151;1012;7474;1673;7477;8829;2255;3082;1901;2277;6275	True		qval	True	missing	False	42	True	23	0	1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_CHEMOTAXIS	evidence_perturb	True	4262	True	False	1		0.890625	57	64	computed	0.890625	9ca08562ac86	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8489583333333333	0.8858695652173912	0.9529651207507308	0.890625	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
2	GOBP_EMBRYONIC_PATTERN_SPECIFICATION	GOBP_EMBRYONIC_PATTERN_SPECIFICATION	fgsea_msigdb_C5_GO_BP_entrez	1.87132373561245	0.508338940849497	up	['5046', '7476', '10959', '4091', '6926', '4213', '10409', '9573', '7474', '2066', '5727', '4838', '6911', '3234', '8829', '7855', '4089', '2255', '6469', '7471']		False		False	False	5046;7476;10959;4091;6926;4213;10409;9573;7474;2066;5727;4838;6911;3234;8829;7855;4089;2255;6469;7471	True		qval	True	missing	False	42	True	20	0	2	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_PATTERN_SPECIFICATION	evidence_perturb	True	4262	True	False	1		0.953125	61	64	computed	0.953125	9dcee9a3b34b	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8452380952380952	0.8875	0.9463862340440563	0.953125	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
3	GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	fgsea_msigdb_C5_GO_BP_entrez	-1.76422567222599	0.508338940849497	down	['10237', '11046', '4547', '9854', '8034', '7518', '293', '8036', '6573', '950', '337', '7224', '2542', '5027', '10057', '345', '10079', '9218', '336', '9619', '5205', '9885', '1378', '225', '6521', '8399', '3949']		False		False	False	10237;11046;4547;9854;8034;7518;293;8036;6573;950;337;7224;2542;5027;10057;345;10079;9218;336;9619;5205;9885;1378;225;6521;8399;3949	True		qval	True	missing	False	42	True	27	0	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	evidence_perturb	True	4262	True	False	1		0.953125	61	64	computed	0.953125	584b8fe6d843	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8749999999999999	0.9074074074074074	0.9606364030243106	0.953125	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
4	GOBP_REGULATION_OF_ENDOCYTOSIS	GOBP_REGULATION_OF_ENDOCYTOSIS	fgsea_msigdb_C5_GO_BP_entrez	1.55099036110635	0.508338940849497	up	['3685', '1815', '11037', '6347', '7251', '6366', '163', '9026', '351', '9098', '8877', '6622', '3601', '8862', '6386', '8547', '5657', '8527', '4289', '3146', '284', '1601', '1265', '6860', '5071', '3077', '4638', '6850', '1445', '9829', '246', '1012', '7474', '8650', '5532', '10347', '1794', '5906', '2624', '6453', '2719', '3565', '5788', '335', '160', '6401', '3600', '2220', '6647', '60', '10399', '5566', '949', '10859', '408', '6363', '9863', '9463', '8976', '10461']		False		False	False	3685;1815;11037;6347;7251;6366;163;9026;351;9098;8877;6622;3601;8862;6386;8547;5657;8527;4289;3146;284;1601;1265;6860;5071;3077;4638;6850;1445;9829;246;1012;7474;8650;5532;10347;1794;5906;2624;6453;2719;3565;5788;335;160;6401;3600;2220;6647;60;10399;5566;949;10859;408;6363;9863;9463;8976;10461	True		qval	True	missing	False	42	True	60	0	4	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_ENDOCYTOSIS	evidence_perturb	True	4262	True	False	1		1.0	64	64	computed	1.0	9c547dda8639	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.851438492063492	0.8940104166666667	0.9469577421548063	1.0	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
5	GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	fgsea_msigdb_C5_GO_BP_entrez	1.84467973639112	0.575850340136054	up	['3606', '3593', '3601', '2214', '3133', '7305', '6776', '3600']		False		False	False	3606;3593;3601;2214;3133;7305;6776;3600	True		qval	True	missing	False	42	True	8	0	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_NATURAL_KILLER_CELL_ACTIVATION	evidence_perturb	True	4262	True	False	1		0.90625	58	64	computed	0.90625	5dd10d9deea3	0.90625	0.546875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.896484375	0.896484375	1.0	0.90625	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
6	GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS	GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS	fgsea_msigdb_C5_GO_BP_entrez	1.82747818397986	0.575850340136054	up	['3576', '5228', '9048', '177']		False		False	False	3576;5228;9048;177	True		qval	True	missing	False	42	True	4	0	6	fgsea_msigdb_C5_GO_BP_entrez:GOBP_INDUCTION_OF_POSITIVE_CHEMOTAXIS	evidence_perturb	True	4262	True	False	1		0.953125	61	64	computed	0.953125	9dbf169d4f3b	0.953125	0.359375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8984375	0.8984375	1.0	0.953125	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
7	GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	fgsea_msigdb_C5_GO_BP_entrez	1.81212659409965	0.575850340136054	up	['11037', '163', '9026', '8527', '1601', '9829', '6614', '8522', '6453', '160', '1213', '9863', '8976']		False		False	False	11037;163;9026;8527;1601;9829;6614;8522;6453;160;1213;9863;8976	True		qval	True	missing	False	42	True	13	0	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	evidence_perturb	True	4262	True	False	1		0.953125	61	64	computed	0.953125	0766a92d27a7	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.859375	0.9254807692307693	0.9228383595571097	0.953125	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
8	GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	fgsea_msigdb_C5_GO_BP_entrez	1.79821562229982	0.575850340136054	up	['5048', '1141', '9353', '2048', '7101', '2049', '2043', '4929']		False		False	False	5048;1141;9353;2048;7101;2049;2043;4929	True		qval	True	missing	False	42	True	8	0	8	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	evidence_perturb	True	4262	True	False	1		0.953125	61	64	computed	0.953125	6169e943b268	0.953125	0.546875	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.904296875	0.904296875	1.0	0.953125	True	ok	off		Mba656c7c6759	False	0.75	3046.0	3046.0	term_survival:min
9	GOBP_NAD_METABOLIC_PROCESS	GOBP_NAD_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.78942452958685	0.575850340136054	down	['2805', '8604', '8402', '952', '2806', '3620', '2820']		False		False	False	2805;8604;8402;952;2806;3620;2820	True		qval	True	missing	False	42	True	7	0	9	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NAD_METABOLIC_PROCESS	evidence_perturb	True	4262	True	False	1		0.984375	63	64	computed	0.984375	c7772ca12d7c	0.984375	0.5	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9040178571428571	0.9040178571428571	1.0	0.984375	True	ok	off		M1f7c7d34cafb	False	0.828125	2.0	2.0	term_survival:min
