term_uid	module_id
fgsea_msigdb_C5_GO_BP_entrez:GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	M7ec645ce960b
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACETYL_COA_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACIDIC_AMINO_ACID_TRANSPORT	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACID_SECRETION	Mb7ab491a318d
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACROSOME_REACTION	Mb45a53f521d1
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BASED_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_ORGANIZATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_FILAMENT_POLYMERIZATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING	M2e8c248c0e15
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_NUCLEATION	Mfbadfc157f50
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTION_POTENTIAL	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATED_T_CELL_PROLIFERATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	Meaf8a9c8ce37
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_INFLAMMATORY_RESPONSE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	M4f3512825e2c
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACUTE_PHASE_RESPONSE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACYLGLYCEROL_HOMEOSTASIS	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ACYL_COA_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_IMMUNE_RESPONSE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_THERMOGENESIS	M89cadb1d04f1
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	Mb86f7e1b0672
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADHERENS_JUNCTION_ORGANIZATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADIPOSE_TISSUE_DEVELOPMENT	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADRENAL_GLAND_DEVELOPMENT	Mf184d30bb5c0
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY	Mfa37a8c00f01
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADULT_BEHAVIOR	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADULT_LOCOMOTORY_BEHAVIOR	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AEROBIC_RESPIRATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_CATABOLIC_PROCESS	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALCOHOL_METABOLIC_PROCESS	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALDEHYDE_METABOLIC_PROCESS	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_ACTIVATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMELOGENESIS	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_BIOSYNTHETIC_PROCESS	M4f286141b9a8
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMIDE_TRANSPORT	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_BIOSYNTHETIC_PROCESS	M04b95212463c
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINE_TRANSPORT	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	M13eddd8e8508
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINOGLYCAN_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_ACTIVATION	M49076f5b5002
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	M0fafcb56cd38
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_CATABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_METABOLIC_PROCESS	M0fafcb56cd38
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_TRANSPORT	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_SUGAR_METABOLIC_PROCESS	Md0e44d806228
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMMONIUM_ION_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMP_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_CLEARANCE	M46f8676a3777
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_FORMATION	Mf23ed7f15b25
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_BETA_METABOLIC_PROCESS	Mf23ed7f15b25
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_FIBRIL_FORMATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANATOMICAL_STRUCTURE_ARRANGEMENT	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANATOMICAL_STRUCTURE_MATURATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANDROGEN_METABOLIC_PROCESS	M2461afd100d5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING	M9a2984a9013e
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANGIOTENSIN_ACTIVATED_SIGNALING_PATHWAY	M1a13d01c68b5
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_FORMATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_MATURATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANIMAL_ORGAN_REGENERATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANOIKIS	Mc7b153781464
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTERIOR_POSTERIOR_PATTERN_SPECIFICATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTEROGRADE_AXONAL_TRANSPORT	Maf1e1f3d7d9a
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE	M00ed27f04e45
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN	M4d5b3fb4117e
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN	M5e80233d8afe
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_II	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	M210f6e8a09ad
fgsea_msigdb_C5_GO_BP_entrez:GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	M210f6e8a09ad
