claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_method	context_tokens	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_7878b9e9e9f8	GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	fgsea_msigdb_C5_GO_BP_entrez	GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	Mec62c147d4ba	False		2303,2302,5800,10409,1909,4643,182	2303,2302,5800,10409,1909,4643,182	2303,2302,5800,10409,1909,4643,182	7	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	a7a8b83865a1	0.20966898838830583	False	PASS	none	0.20966898838830583	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_7878b9e9e9f8"",""entity"":""GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mec62c147d4ba"",""gene_ids"":[""2303"",""2302"",""5800"",""10409"",""1909"",""4643"",""182""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT""],""gene_set_hash"":""a7a8b83865a1"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.210 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.20966898838830583	0.20966898838830583	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'2303;2302;5800;10409;1909;4643;182	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLOMERULAR_EPITHELIUM_DEVELOPMENT	False
c_3f4b7c7a417f	GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	fgsea_msigdb_C5_GO_BP_entrez	GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	M4f6426ea3b71	False		7763,6939,9618,10905,8546,5090,3202,9407,1909,7352	7763,6939,9618,10905,8546,5090,3202,9407,1909,7352	7763,6939,9618,10905,8546,5090,3202,9407,1909,7352	10	10	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	00e7926835a6	0.4922620901906474	False	PASS	none	0.4922620901906474	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_3f4b7c7a417f"",""entity"":""GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M4f6426ea3b71"",""gene_ids"":[""7763"",""6939"",""9618"",""10905"",""8546"",""5090"",""3202"",""9407"",""1909"",""7352""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM""],""gene_set_hash"":""00e7926835a6"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.492 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.4922620901906474	0.4922620901906474	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'7763;6939;9618;10905;8546;5090;3202;9407;1909;7352	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	False
c_3fe234763fa6	GOBP_ETHER_METABOLIC_PROCESS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ETHER_METABOLIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	GOBP_ETHER_METABOLIC_PROCESS	GOBP_ETHER_METABOLIC_PROCESS	M12f677461ef5	False		8540,239,7941,2194,8398,5191,8443,11145	8540,239,7941,2194,8398,5191,8443,11145	8540,239,7941,2194,8398,5191,8443,11145	8	8	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ETHER_METABOLIC_PROCESS	885921b4b77e	0.6528466639302757	False	PASS	none	0.6528466639302757	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_3fe234763fa6"",""entity"":""GOBP_ETHER_METABOLIC_PROCESS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M12f677461ef5"",""gene_ids"":[""8540"",""239"",""7941"",""2194"",""8398"",""5191"",""8443"",""11145""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_ETHER_METABOLIC_PROCESS""],""gene_set_hash"":""885921b4b77e"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.653 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.6528466639302757	0.6528466639302757	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'8540;239;7941;2194;8398;5191;8443;11145	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_ETHER_METABOLIC_PROCESS	False
c_17c6278b68ba	GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	Md92dab39dadb	False		6672,3192,11315	6672,3192,11315	6672,3192,11315	3	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	f8777a15aac0	0.44102426561166364	False	PASS	none	0.44102426561166364	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_17c6278b68ba"",""entity"":""GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Md92dab39dadb"",""gene_ids"":[""6672"",""3192"",""11315""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE""],""gene_set_hash"":""f8777a15aac0"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.441 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.44102426561166364	0.44102426561166364	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'6672;3192;11315	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE	False
c_cd71dfb5f910	GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	M8ba65fe6226a	False		6548,8111,7442,6339,3777	6548,8111,7442,6339,3777	6548,8111,7442,6339,3777	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	99e128359573	0.3552638704210198	False	PASS	none	0.3552638704210198	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_cd71dfb5f910"",""entity"":""GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M8ba65fe6226a"",""gene_ids"":[""6548"",""8111"",""7442"",""6339"",""3777""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH""],""gene_set_hash"":""99e128359573"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.355 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.3552638704210198	0.3552638704210198	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'6548;8111;7442;6339;3777	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH	False
c_7e9d48684590	GOBP_RESPONSE_TO_NITRIC_OXIDE	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_NITRIC_OXIDE	fgsea_msigdb_C5_GO_BP_entrez	GOBP_RESPONSE_TO_NITRIC_OXIDE	GOBP_RESPONSE_TO_NITRIC_OXIDE	Mc746fab0eb5c	False		3184,2308,1017,1800,1398,11280,9131	3184,2308,1017,1800,1398,11280,9131	3184,2308,1017,1800,1398,11280,9131	7	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_NITRIC_OXIDE	9baf8aead693	0.9963562888492341	False	PASS	none	0.9963562888492341	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_7e9d48684590"",""entity"":""GOBP_RESPONSE_TO_NITRIC_OXIDE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mc746fab0eb5c"",""gene_ids"":[""3184"",""2308"",""1017"",""1800"",""1398"",""11280"",""9131""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_NITRIC_OXIDE""],""gene_set_hash"":""9baf8aead693"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.996 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.9963562888492341	0.9963562888492341	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'3184;2308;1017;1800;1398;11280;9131	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_RESPONSE_TO_NITRIC_OXIDE	False
c_9093e8174873	GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	fgsea_msigdb_C5_GO_BP_entrez	GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	Mfb5b679defb1	False		3799,10810,3706,2043,6780	3799,10810,3706,2043,6780	3799,10810,3706,2043,6780	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	4092263511e1	0.6050929547981467	False	PASS	none	0.6050929547981467	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_9093e8174873"",""entity"":""GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mfb5b679defb1"",""gene_ids"":[""3799"",""10810"",""3706"",""2043"",""6780""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE""],""gene_set_hash"":""4092263511e1"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.605 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.6050929547981467	0.6050929547981467	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'3799;10810;3706;2043;6780	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE	False
c_fea3f744c6bf	GOBP_REGULATION_OF_DEPHOSPHORYLATION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_DEPHOSPHORYLATION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_REGULATION_OF_DEPHOSPHORYLATION	GOBP_REGULATION_OF_DEPHOSPHORYLATION	M2edbb411cc2d	False		3476,1133,650,8725,8898	3476,1133,650,8725,8898	3476,1133,650,8725,8898	5	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_DEPHOSPHORYLATION	1692bfb703aa	0.7870731742833847	False	PASS	none	0.7870731742833847	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_fea3f744c6bf"",""entity"":""GOBP_REGULATION_OF_DEPHOSPHORYLATION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M2edbb411cc2d"",""gene_ids"":[""3476"",""1133"",""650"",""8725"",""8898""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_DEPHOSPHORYLATION""],""gene_set_hash"":""1692bfb703aa"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.787 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.7870731742833847	0.7870731742833847	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'3476;1133;650;8725;8898	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_DEPHOSPHORYLATION	False
c_e244a0cfe5aa	GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	M10f02a95f47e	False		2302	2302	2302	1	1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	594686bcfe8a	0.8498444607565829	False	PASS	none	0.8498444607565829	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_e244a0cfe5aa"",""entity"":""GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M10f02a95f47e"",""gene_ids"":[""2302""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION""],""gene_set_hash"":""594686bcfe8a"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.850 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.8498444607565829	0.8498444607565829	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'2302	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION	False
c_193e33affcef	GOBP_CORTICOSTEROID_HORMONE_SECRETION	up	condition,tissue,perturbation,comparison	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CORTICOSTEROID_HORMONE_SECRETION	fgsea_msigdb_C5_GO_BP_entrez	GOBP_CORTICOSTEROID_HORMONE_SECRETION	GOBP_CORTICOSTEROID_HORMONE_SECRETION	Mdcc9052e3d64	False		3784,5443,1392,1601	3784,5443,1392,1601	3784,5443,1392,1601	4	4	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CORTICOSTEROID_HORMONE_SECRETION	8c3965120c90	0.6489290952731701	False	PASS	none	0.6489290952731701	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_193e33affcef"",""entity"":""GOBP_CORTICOSTEROID_HORMONE_SECRETION"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mdcc9052e3d64"",""gene_ids"":[""3784"",""5443"",""1392"",""1601""],""term_ids"":[""fgsea_msigdb_C5_GO_BP_entrez:GOBP_CORTICOSTEROID_HORMONE_SECRETION""],""gene_set_hash"":""8c3965120c90"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=3386; eligible=3386; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=797; relaxed=False; relax_passes=0; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	3386	3386	0	50	797	False	0	1	0	deterministic		proxy_context_v2: u=0.649 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	v2	ucec;tumor;genotype;tp53;mut	5	0.6489290952731701	0.6489290952731701	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'3784;5443;1392;1601	'fgsea_msigdb_C5_GO_BP_entrez:GOBP_CORTICOSTEROID_HORMONE_SECRETION	False
