module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M00bad2d121fc	1	1	29	['1027', '1028', '2309', '3486', '5209', '5292', '7128', '1907', '2548', '4015']	['fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA']	1027;1028;2309;3486;5209;5292;7128;1907;2548;4015	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	a492e1a711f2	b90fe2cf4bb4	00bad2d121fc	0.984375	1	1	term_survival:min
M0de123e1b515	2	1	38	['1026', '355', '3659', '595', '6890', '834', '1017', '1499', '2147', '8900']	['fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS']	1026;355;3659;595;6890;834;1017;1499;2147;8900	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	f7243ee91cc9	1c6e47040c6a	0de123e1b515	1.0	1	1	term_survival:min
M1ea213a317ba	3	1	9	['1499', '3397', '6574', '6711', '7071', '7082', '8412', '5045', '9241']	['fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING']	1499;3397;6574;6711;7071;7082;8412;5045;9241	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	5c5f250cb5e3	c20a5374bb5b	1ea213a317ba	0.9375	1	1	term_survival:min
M27c21ad3e788	4	1	39	['760', '1520', '3689', '7852', '3290', '3728', '5121', '5743', '6304', '6447']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP']	760;1520;3689;7852;3290;3728;5121;5743;6304;6447	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	e2a24c6bd69a	d6d7115b2b2a	27c21ad3e788	0.984375	1	1	term_survival:min
M2a3718e7ab20	5	1	35	['4616', '1281', '3486', '8877', '1158', '1675', '1728', '187', '2548', '4851']	['fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS']	4616;1281;3486;8877;1158;1675;1728;187;2548;4851	fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	54726224a445	17f348f5a0e1	2a3718e7ab20	0.984375	1	1	term_survival:min
M3b7696b76359	6	3	98	['4616', '11047', '1906', '3459', '3460', '3593', '3601', '3624', '4792', '4973']	['fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE', 'fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB']	4616;11047;1906;3459;3460;3593;3601;3624;4792;4973	fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE;fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	c591a3639628	715ee530ff83	3b7696b76359	0.953125	3	3	term_survival:min
M3cf74eb06f9f	7	1	11	['595', '4853', '8819', '1840', '2648', '3955', '4854', '5467', '6500', '7472']	['fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING']	595;4853;8819;1840;2648;3955;4854;5467;6500;7472	fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	3de53f20e7bb	132214200444	3cf74eb06f9f	0.890625	1	1	term_survival:min
M3f89a2ed7824	8	1	31	['2309', '3920', '440', '3005', '4059', '5091', '6513', '682', '7001', '7150']	['fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM']	2309;3920;440;3005;4059;5091;6513;682;7001;7150	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	bd368acaecf8	8e1ed606db8f	3f89a2ed7824	0.984375	1	1	term_survival:min
M40595e9e1c80	9	1	31	['4853', '6310', '10370', '10395', '2064', '2152', '3397', '3480', '4233', '6383']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN']	4853;6310;10370;10395;2064;2152;3397;3480;4233;6383	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	961a192f637b	8dc7d2abaa4b	40595e9e1c80	1.0	1	1	term_survival:min
M4e8c8eecbba4	10	1	46	['3685', '4616', '1281', '2200', '3486', '3624', '649', '7128', '1311', '2335']	['fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION']	3685;4616;1281;2200;3486;3624;649;7128;1311;2335	fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	7bc56f858bc7	3244de680c77	4e8c8eecbba4	0.9375	1	1	term_survival:min
