module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M029534977e54	1	1	16	['3690', '3491', '10395', '1290', '1432', '1843', '3037', '3382', '10000', '1859']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN']	3690;3491;10395;1290;1432;1843;3037;3382;10000;1859	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	961a192f637b	6287f677901b	029534977e54	0.921875	1	1	term_survival:min
M0332a8692e9e	2	1	6	['4627', '7070', '4897', '7857', '8633', '8861']	['fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING']	4627;7070;4897;7857;8633;8861	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	4afac49fe57f	613ae2fabfbc	0332a8692e9e	0.921875	1	1	term_survival:min
M03a383e6e086	3	2	61	['10989', '2109', '2879', '10113', '1337', '1349', '1431', '2053', '50', '5209']	['fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS', 'fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION']	10989;2109;2879;10113;1337;1349;1431;2053;50;5209	fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS;fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	401644138647	f245d95829ba	03a383e6e086	0.9375	2	2	term_survival:min
M03bbcf30d770	4	1	40	['2109', '595', '7494', '2222', '2317', '2717', '3251', '5104', '5603', '7164']	['fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE']	2109;595;7494;2222;2317;2717;3251;5104;5603;7164	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	22f0c4899d23	b35752d0b692	03bbcf30d770	1.0	1	1	term_survival:min
M0bfe89c5e5ee	5	2	78	['1499', '2879', '3552', '3553', '3569', '3949', '4783', '5747', '595', '7832']	['fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS', 'fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB']	1499;2879;3552;3553;3569;3949;4783;5747;595;7832	fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS;fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	ef45f442583e	fc53df04e590	0bfe89c5e5ee	0.984375	2	2	term_survival:min
M2027fb4eaf57	6	2	70	['1956', '223', '4502', '5091', '7163', '8819', '10397', '2288', '283', '3491']	['fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS', 'fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA']	1956;223;4502;5091;7163;8819;10397;2288;283;3491	fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS;fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	59797bb9a726	7436708aab03	2027fb4eaf57	0.953125	2	2	term_survival:min
M233c2007188c	7	1	62	['3265', '3552', '7832', '1026', '10437', '10458', '1839', '3691', '4084', '7164']	['fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY']	3265;3552;7832;1026;10437;10458;1839;3691;4084;7164	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	d89dadd0d382	5e0db386218d	233c2007188c	0.984375	1	1	term_survival:min
M2360b5ab0ad5	8	4	76	['3015', '4502', '4609', '8819', '9221', '10549', '5111', '8454', '9133', '983']	['fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS', 'fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2']	3015;4502;4609;8819;9221;10549;5111;8454;9133;983	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS;fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	6bd2dd72d593	87208daa1847	2360b5ab0ad5	0.90625	4	4	term_survival:min
M27669b8fa9e7	9	1	15	['567', '7163', '10397', '11047', '1836', '3880', '6303', '6652', '10645', '2005']	['fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE']	567;7163;10397;11047;1836;3880;6303;6652;10645;2005	fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	96be8d1cf85d	db62abf089f7	27669b8fa9e7	0.96875	1	1	term_survival:min
M2d0eb2e1283c	10	3	79	['1956', '3394', '3937', '4502', '567', '7163', '10124', '10410', '1520', '355']	['fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION', 'fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE', 'fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE']	1956;3394;3937;4502;567;7163;10124;10410;1520;355	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION;fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE;fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	c140ed1c4b8e	c15f6348335b	2d0eb2e1283c	0.96875	3	3	term_survival:min
M2e94ad74a674	11	1	26	['10125', '6535', '2288', '2878', '3485', '694', '10494', '1267', '262', '4487']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP']	10125;6535;2288;2878;3485;694;10494;1267;262;4487	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	b9c684f80797	d65907a7e01f	2e94ad74a674	0.96875	1	1	term_survival:min
M316384fde50c	12	1	10	['3265', '2053', '6833', '1382', '1742', '3291', '3295', '412', '5190', '6477']	['fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME']	3265;2053;6833;1382;1742;3291;3295;412;5190;6477	fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	b457252b4d21	224b55fc8ce4	316384fde50c	0.984375	1	1	term_survival:min
M3297d664d230	13	1	9	['6833', '10590', '1641', '2308', '3651', '4760', '5063', '6727', '6927']	['fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS']	6833;10590;1641;2308;3651;4760;5063;6727;6927	fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	4c35b106caca	728f7e7d6aee	3297d664d230	0.953125	1	1	term_survival:min
M40cd09ad5a42	14	1	45	['3394', '1520', '3398', '6004', '629', '760', '1437', '5950', '6324', '6364']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP']	3394;1520;3398;6004;629;760;1437;5950;6324;6364	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	e2a24c6bd69a	d2281702f36f	40cd09ad5a42	0.96875	1	1	term_survival:min
M557bebe138f3	15	1	55	['223', '3394', '4502', '5091', '3172', '3398', '355', '4153', '629', '7042']	['fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM']	223;3394;4502;5091;3172;3398;355;4153;629;7042	fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	6000d29ce637	f3fe33cde6b1	557bebe138f3	0.96875	1	1	term_survival:min
M591a524fec18	16	1	8	['1499', '10014', '1856', '4855', '6502', '6868', '8313', '8325']	['fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING']	1499;10014;1856;4855;6502;6868;8313;8325	fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	34c7754046ad	fdfa5bae0a42	591a524fec18	0.9375	1	1	term_survival:min
M5b918e3ddc09	17	1	11	['4627', '2317', '10565', '11214', '1778', '5311', '5829', '8874', '9055', '9266']	['fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE']	4627;2317;10565;11214;1778;5311;5829;8874;9055;9266	fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	03d5f6d60433	a75e273f615d	5b918e3ddc09	0.890625	1	1	term_survival:min
M5c8301a4461d	18	1	42	['10125', '4609', '2288', '8614', '10395', '115', '1836', '1952', '2194', '3280']	['fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY']	10125;4609;2288;8614;10395;115;1836;1952;2194;3280	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	2cffec01e5f9	fde45b167277	5c8301a4461d	0.96875	1	1	term_survival:min
M5ff3f8386599	19	1	22	['1499', '3949', '4783', '10957', '1595', '2222', '10654', '1191', '1891', '230']	['fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS']	1499;3949;4783;10957;1595;2222;10654;1191;1891;230	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	a59af8d27fcb	01a3aafc0275	5ff3f8386599	0.90625	1	1	term_survival:min
M740963684598	20	1	28	['3485', '3593', '4599', '7042', '1952', '3425', '3848', '3866', '4842', '5317']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN']	3485;3593;4599;7042;1952;3425;3848;3866;4842;5317	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	d37c76b914b9	5e7fc4a4dae8	740963684598	0.96875	1	1	term_survival:min
M8ed6e1204564	21	1	12	['1499', '331', '4092', '7071', '1025', '1028', '324', '4053', '4086', '8412']	['fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING']	1499;331;4092;7071;1025;1028;324;4053;4086;8412	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	5c5f250cb5e3	4d0fe7c5c2fd	8ed6e1204564	0.875	1	1	term_survival:min
M8ff555ff76b4	22	1	27	['223', '1593', '216', '3422', '367', '5213', '8431', '866', '10351', '10661']	['fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM']	223;1593;216;3422;367;5213;8431;866;10351;10661	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	ffbbc73137e8	e06d517ba41b	8ff555ff76b4	0.984375	1	1	term_survival:min
M981735c0abdf	23	1	54	['10989', '3949', '4783', '7494', '7832', '8878', '1026', '10437', '1595', '2717']	['fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING']	10989;3949;4783;7494;7832;8878;1026;10437;1595;2717	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	60db79ae6be6	0b6839e2bc0f	981735c0abdf	0.984375	1	1	term_survival:min
M99c0a1c61c0c	24	1	39	['223', '3015', '760', '126', '1384', '1738', '216', '218', '2194', '3422']	['fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM']	223;3015;760;126;1384;1738;216;218;2194;3422	fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	a644a3ee038d	ba9f3e09d40e	99c0a1c61c0c	0.9375	1	1	term_survival:min
Ma9ddf8f5a0b5	25	1	15	['1956', '1173', '1649', '3565', '5594', '6885', '7186', '7249', '7334', '10096']	['fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING']	1956;1173;1649;3565;5594;6885;7186;7249;7334;10096	fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	5	0c5a0e9ee369	98d62807503b	a9ddf8f5a0b5	0.984375	1	1	term_survival:min
