coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.84375	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.875	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.890625	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.90625	term_survival_agg	status	True	True
0.84	0.84	0.0	0.0	0.0	42.0	0.0	8.0	42.0	50.0	0.921875	term_survival_agg	status	True	True
0.76	0.76	0.0	0.0	0.0	38.0	0.0	12.0	38.0	50.0	0.9375	term_survival_agg	status	True	True
0.7	0.7	0.0	0.0	0.0	35.0	0.0	15.0	35.0	50.0	0.953125	term_survival_agg	status	True	True
0.54	0.54	0.0	0.0	0.0	27.0	0.0	23.0	27.0	50.0	0.96875	term_survival_agg	status	True	True
0.32	0.32	0.0	0.0	0.0	16.0	0.0	34.0	16.0	50.0	0.984375	term_survival_agg	status	True	True
0.08	0.08	0.0	0.0	0.0	4.0	0.0	46.0	4.0	50.0	1.0	term_survival_agg	status	True	True
