term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M89be92de1632
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	Md54d1704a164
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	M1b5332fdef19
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	Mbfa0ff00ce99
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	M92770094b693
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	Mc78b0e69ccf9
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	M732671a725b3
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	M64e4eb78cf7f
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M5e6088cf4b0c
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	M2a7704dd8950
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	M2a7704dd8950
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	Mb99454e4fa15
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	M95922b138cbb
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M57c532775ef3
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	Mad2179eaf88a
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	Mad2179eaf88a
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	Mb7e84d273b96
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	M2b3fe42a5d8c
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	Mdcdaab118871
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	M6f281222a70e
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	M24fc167bd64d
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	Mdcdaab118871
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	Me15483fa6316
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	Mc685adc28150
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	M9ae94128b9e6
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	M8abd32be79ae
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	M9ae94128b9e6
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M626d76105ec5
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	M59c7ffed55d0
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	M2b3fe42a5d8c
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M8e74c78b817f
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	M95922b138cbb
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	M95922b138cbb
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	M95e80f5437ba
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	M9ba5ac416d54
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	Mebd207408d92
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	Mc3006dba1467
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	Mbfff37b753ff
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	M64e4eb78cf7f
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	M85d1c16aafc1
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	M1cfdfe9fc0ab
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	M20c59658653c
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	Mc50a980472a1
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	M939933a85d92
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mc685adc28150
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Ma8ffa8c2b18e
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	Mef5a8baaf749
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	Mc232498ee825
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M6a97199f3fea
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	M8b36a845cc49
