module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M16c68ed47867	1	1	35	['7436', '5163', '8614', '10370', '136', '1907', '2023', '205', '2542', '2745']	['fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA']	7436;5163;8614;10370;136;1907;2023;205;2542;2745	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	a492e1a711f2	2400e2853a1f	16c68ed47867	1.0	1	1	term_survival:min
M18baa9da20f6	2	1	12	['351', '357', '2619', '6376', '7070', '102', '11126', '1946', '4118', '5314']	['fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE']	351;357;2619;6376;7070;102;11126;1946;4118;5314	fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	235cd4ae46ea	c092804f16bb	18baa9da20f6	0.921875	1	1	term_survival:min
M1b990845e928	3	1	8	['6647', '847', '1728', '10549', '5052', '7295', '4353', '4720']	['fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY']	6647;847;1728;10549;5052;7295;4353;4720	fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	e51530c84b6e	53d53cfa07f8	1b990845e928	0.96875	1	1	term_survival:min
M1d8790ad8d54	4	1	44	['440', '3050', '3145', '4601', '6917', '7037', '8833', '10058', '10107', '10158']	['fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM']	440;3050;3145;4601;6917;7037;8833;10058;10107;10158	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	bd368acaecf8	d2e30fd79bfb	1d8790ad8d54	0.953125	1	1	term_survival:min
M20320d8d729a	5	1	17	['1997', '10379', '10561', '10581', '11054', '2766', '3627', '3959', '4061', '6402']	['fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE']	1997;10379;10561;10581;11054;2766;3627;3959;4061;6402	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	1297ba2d030b	d94baeecff0b	20320d8d729a	0.953125	1	1	term_survival:min
M22a259c4888c	6	1	29	['3417', '6647', '3486', '8870', '3925', '10456', '10776', '1468', '1528', '2582']	['fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS']	3417;6647;3486;8870;3925;10456;10776;1468;1528;2582	fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	ab557cecce5b	b097c15efbce	22a259c4888c	0.953125	1	1	term_survival:min
M276be7b20f01	7	1	14	['5499', '1025', '1499', '2280', '2339', '3065', '3460', '4053', '6574', '6711']	['fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING']	5499;1025;1499;2280;2339;3065;3460;4053;6574;6711	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	5c5f250cb5e3	108d013d2b3e	276be7b20f01	0.8125	1	1	term_survival:min
M28597d4ffcbc	8	2	70	['7436', '440', '5163', '811', '10096', '10652', '10797', '10989', '1956', '2023']	['fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING']	7436;440;5163;811;10096;10652;10797;10989;1956;2023	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	7a59c5523da7	db1c66b0e9ad	28597d4ffcbc	0.90625	2	2	term_survival:min
M29531a604a19	9	1	5	['7436', '3897', '4897', '5921', '7090']	['fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING']	7436;3897;4897;5921;7090	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	4afac49fe57f	e6f54130c425	29531a604a19	0.984375	1	1	term_survival:min
M2a01d2868fb3	10	1	51	['351', '2934', '3486', '8877', '1012', '1728', '208', '4638', '6678', '6709']	['fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS']	351;2934;3486;8877;1012;1728;208;4638;6678;6709	fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	6	2	54726224a445	8b85bfe0319e	2a01d2868fb3	0.984375	1	1	term_survival:min
