term_uid	gene_id	weight	gene_term_degree	term_gene_degree
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10140	1.0	2	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10313	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1349	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1351	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	217	1.0	2	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	226	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	33	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	334	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	348	1.0	2	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3679	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	3977	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4023	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4189	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4638	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4706	1.0	2	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4836	1.0	2	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4958	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5211	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5860	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	604	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6647	1.0	3	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6817	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	7351	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	7905	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8322	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	847	1.0	4	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8780	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8884	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	949	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	977	1.0	1	30
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	10006	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1029	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1520	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2069	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2113	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2147	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2213	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3091	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3108	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3111	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3112	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3459	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3551	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3558	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3559	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3560	1.0	5	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3561	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3566	1.0	5	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3574	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3592	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3606	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3683	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3689	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3937	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	4050	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	4067	1.0	5	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	5199	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	5551	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6059	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6357	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	672	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6891	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7097	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7098	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7186	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7535	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8444	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8477	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8560	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8651	1.0	5	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8767	1.0	4	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8915	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	92	1.0	3	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	920	1.0	1	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	972	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	9734	1.0	2	46
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	10257	1.0	1	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	10397	1.0	4	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	10611	1.0	4	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	1622	1.0	1	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	1718	1.0	4	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	2005	1.0	1	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	2181	1.0	2	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	2185	1.0	1	21
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	220	1.0	2	21
