claim_id	entity	direction	context_keys	term_uid	source	term_id	term_name	module_id	module_missing	module_reason	gene_ids	gene_ids_suggest	gene_ids_snippet	gene_ids_n_total	gene_ids_n_in_claim	term_ids	gene_set_hash	context_score	context_evaluated	context_status	context_method	context_confidence	context_reason	select_context_score	select_context_evaluated	select_context_tokens_n	select_context_status_score	select_context_tiebreak	context_signature	context_swap_active	context_gate_mode	context_gate_hit	eligible_context	eligible	term_survival	keep_term	keep_reason	claim_json	preselect_tau_gate	context_score_proxy	select_context_mode	select_context_policy	select_notes	select_diag_n_total	select_diag_n_eligible	select_diag_n_ineligible	select_diag_n_picked	select_diag_blocked_by_module_cap	select_diag_relaxed	select_diag_relax_passes	select_diag_max_per_module	select_diag_ctx_hit_terms	claim_mode	llm_notes	context_notes	context_review_mode	context_ctx_id	context_proxy_method	context_score_proxy_norm	module_context_weight	context_score_proxy_reason	context_score_proxy_n_nonzero	context_tokens_n	context_score_proxy_u01	context_score_proxy_u01_norm	context_ctx_id_original	context_ctx_id_effective	context_swap_from	context_swap_to	gene_ids_excel	term_ids_excel	context_gate_applied_pre_audit
c_8c2905bbddd1	HALLMARK_MYC_TARGETS_V1	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	fgsea_msigdb_H_entrez	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Mcbf980c78bd2	False		2739,3837,708,3184,3192,5706,2058,5887,11137,6418	2739,3837,708,3184,3192,5706,2058,5887,11137,6418	2739,3837,708,3184,3192,5706,2058,5887,11137,6418	36	36	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	cc3fbdf0dc36	0.37518715788159485	False	PASS	none	0.37518715788159485	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_8c2905bbddd1"",""entity"":""HALLMARK_MYC_TARGETS_V1"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mcbf980c78bd2"",""gene_ids"":[""2739"",""3837"",""708"",""3184"",""3192"",""5706"",""2058"",""5887"",""11137"",""6418"",""3015"",""10921"",""3475"",""5478"",""6626"",""6950"",""1665"",""7965"",""5093"",""11335"",""5690"",""6059"",""1017"",""5704"",""8761"",""4869"",""5714"",""7416"",""790"",""7307"",""5036"",""4609"",""7514"",""9868"",""6723"",""3183""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1""],""gene_set_hash"":""cc3fbdf0dc36"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.375 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.37518715788159485	0.37518715788159485	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'2739;3837;708;3184;3192;5706;2058;5887;11137;6418	'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	False
c_a115ee14c2bd	HALLMARK_COMPLEMENT	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	fgsea_msigdb_H_entrez	HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	M86dbbca009e6	False		1378,801,3818,4323,1519,837,4048,11108,5292,7511	1378,801,3818,4323,1519,837,4048,11108,5292,7511	1378,801,3818,4323,1519,837,4048,11108,5292,7511	46	46	fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	51fd1c5671fc	0.6585255695250074	False	PASS	none	0.6585255695250074	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_a115ee14c2bd"",""entity"":""HALLMARK_COMPLEMENT"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M86dbbca009e6"",""gene_ids"":[""1378"",""801"",""3818"",""4323"",""1519"",""837"",""4048"",""11108"",""5292"",""7511"",""4035"",""462"",""88"",""11216"",""4199"",""1012"",""1803"",""1604"",""710"",""3569"",""3660"",""7941"",""735"",""5646"",""4321"",""838"",""629"",""4504"",""1508"",""1514"",""948"",""6810"",""5531"",""6280"",""3697"",""1380"",""4855"",""5641"",""5877"",""2230"",""5251"",""2885"",""1520"",""842"",""1608"",""2207""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT""],""gene_set_hash"":""51fd1c5671fc"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.659 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.6585255695250074	0.6585255695250074	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'1378;801;3818;4323;1519;837;4048;11108;5292;7511	'fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	False
c_b3efac9a8891	HALLMARK_KRAS_SIGNALING_UP	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	M583eecef9774	False		101,7852,3394,2012,7139,4320,9949,7813,11179,3237	101,7852,3394,2012,7139,4320,9949,7813,11179,3237	101,7852,3394,2012,7139,4320,9949,7813,11179,3237	40	40	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	26d66f8dcd43	0.29620016608268074	False	PASS	none	0.29620016608268074	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_b3efac9a8891"",""entity"":""HALLMARK_KRAS_SIGNALING_UP"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M583eecef9774"",""gene_ids"":[""101"",""7852"",""3394"",""2012"",""7139"",""4320"",""9949"",""7813"",""11179"",""3237"",""9590"",""9053"",""894"",""10221"",""685"",""9734"",""5473"",""383"",""5121"",""7462"",""8431"",""7035"",""1149"",""5649"",""9314"",""629"",""5743"",""3800"",""3673"",""6004"",""2591"",""8808"",""2069"",""1240"",""5284"",""10103"",""3561"",""9910"",""650"",""1520""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP""],""gene_set_hash"":""26d66f8dcd43"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.296 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.29620016608268074	0.29620016608268074	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'101;7852;3394;2012;7139;4320;9949;7813;11179;3237	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	False
c_089c35b69ebd	HALLMARK_MTORC1_SIGNALING	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	fgsea_msigdb_H_entrez	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	M23e583c4b401	False		7852,5706,2058,4048,5701,3992,8624,10452,1026,4860	7852,5706,2058,4048,5701,3992,8624,10452,1026,4860	7852,5706,2058,4048,5701,3992,8624,10452,1026,4860	31	31	fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	030241601642	0.5937345262948688	False	PASS	none	0.5937345262948688	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_089c35b69ebd"",""entity"":""HALLMARK_MTORC1_SIGNALING"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M23e583c4b401"",""gene_ids"":[""7852"",""5706"",""2058"",""4048"",""5701"",""3992"",""8624"",""10452"",""1026"",""4860"",""3475"",""5478"",""4199"",""2232"",""1595"",""5211"",""2286"",""47"",""5347"",""3417"",""5704"",""3422"",""5163"",""1491"",""10197"",""5052"",""2932"",""205"",""6319"",""6715"",""5641""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING""],""gene_set_hash"":""030241601642"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.594 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.5937345262948688	0.5937345262948688	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'7852;5706;2058;4048;5701;3992;8624;10452;1026;4860	'fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	False
c_862837d59ab5	HALLMARK_E2F_TARGETS	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	fgsea_msigdb_H_entrez	HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	M92ee1517df1d	False		11168,3184,701,5591,5810,5885,1026,3015,5424,11340	11168,3184,701,5591,5810,5885,1026,3015,5424,11340	11168,3184,701,5591,5810,5885,1026,3015,5424,11340	20	20	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	e35b14c975e6	0.9836722086310385	False	PASS	none	0.9836722086310385	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_862837d59ab5"",""entity"":""HALLMARK_E2F_TARGETS"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M92ee1517df1d"",""gene_ids"":[""11168"",""3184"",""701"",""5591"",""5810"",""5885"",""1026"",""3015"",""5424"",""11340"",""5889"",""5347"",""7465"",""580"",""10615"",""5395"",""5036"",""4609"",""7514"",""1434""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS""],""gene_set_hash"":""e35b14c975e6"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.984 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.9836722086310385	0.9836722086310385	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'11168;3184;701;5591;5810;5885;1026;3015;5424;11340	'fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	False
c_148875c88c89	HALLMARK_P53_PATHWAY	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	fgsea_msigdb_H_entrez	HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	M48581aed16f9	False		467,2877,7508,10560,6236,1026,9618,1606,894,1012	467,2877,7508,10560,6236,1026,9618,1606,894,1012	467,2877,7508,10560,6236,1026,9618,1606,894,1012	34	34	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	2cb48c527285	0.9212170638991923	False	PASS	none	0.9212170638991923	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_148875c88c89"",""entity"":""HALLMARK_P53_PATHWAY"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M48581aed16f9"",""gene_ids"":[""467"",""2877"",""7508"",""10560"",""6236"",""1026"",""9618"",""1606"",""894"",""1012"",""4851"",""2232"",""4071"",""203"",""5889"",""2309"",""677"",""2149"",""9314"",""6256"",""10769"",""8673"",""10057"",""6004"",""100"",""3162"",""8812"",""4084"",""91"",""581"",""7040"",""650"",""8651"",""7164""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY""],""gene_set_hash"":""2cb48c527285"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.921 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.9212170638991923	0.9212170638991923	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'467;2877;7508;10560;6236;1026;9618;1606;894;1012	'fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	False
c_d4571a56a7fc	HALLMARK_UV_RESPONSE_UP	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	fgsea_msigdb_H_entrez	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	M6aec9d8291bb	False		8804,3192,5437,6697,4323,6257,1482,467,3485,6236	8804,3192,5437,6697,4323,6257,1482,467,3485,6236	8804,3192,5437,6697,4323,6257,1482,467,3485,6236	35	35	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	4e8010bdc71b	0.3405321581720935	False	PASS	none	0.3405321581720935	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_d4571a56a7fc"",""entity"":""HALLMARK_UV_RESPONSE_UP"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M6aec9d8291bb"",""gene_ids"":[""8804"",""3192"",""5437"",""6697"",""4323"",""6257"",""1482"",""467"",""3485"",""6236"",""2011"",""3569"",""1036"",""6535"",""1017"",""9"",""6415"",""988"",""3162"",""8817"",""7009"",""4128"",""6817"",""4487"",""1875"",""650"",""10038"",""898"",""528"",""1742"",""4916"",""1119"",""8836"",""5243"",""1138""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP""],""gene_set_hash"":""4e8010bdc71b"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.341 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.3405321581720935	0.3405321581720935	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'8804;3192;5437;6697;4323;6257;1482;467;3485;6236	'fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	False
c_2601618fcbc8	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	up	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	fgsea_msigdb_H_entrez	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mf79baa98d027	False		3799,467,10525,7280,10605,7422,1662,9652,4189,4869	3799,467,10525,7280,10605,7422,1662,9652,4189,4869	3799,467,10525,7280,10605,7422,1662,9652,4189,4869	10	10	fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	50e1785efee8	0.6762974571301676	False	PASS	none	0.6762974571301676	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_2601618fcbc8"",""entity"":""HALLMARK_UNFOLDED_PROTEIN_RESPONSE"",""direction"":""up"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""Mf79baa98d027"",""gene_ids"":[""3799"",""467"",""10525"",""7280"",""10605"",""7422"",""1662"",""9652"",""4189"",""4869""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE""],""gene_set_hash"":""50e1785efee8"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.676 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.6762974571301676	0.6762974571301676	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'3799;467;10525;7280;10605;7422;1662;9652;4189;4869	'fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	False
c_02d8135e4e51	HALLMARK_KRAS_SIGNALING_DN	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	fgsea_msigdb_H_entrez	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	M2af838d2647b	False		10686,10991,4842,7038,797,1271,1907,70,6707,4524	10686,10991,4842,7038,797,1271,1907,70,6707,4524	10686,10991,4842,7038,797,1271,1907,70,6707,4524	53	53	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	3774d7244047	0.7497121796085175	False	PASS	none	0.7497121796085175	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_02d8135e4e51"",""entity"":""HALLMARK_KRAS_SIGNALING_DN"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M2af838d2647b"",""gene_ids"":[""10686"",""10991"",""4842"",""7038"",""797"",""1271"",""1907"",""70"",""6707"",""4524"",""5625"",""6620"",""8303"",""5071"",""5626"",""1952"",""1358"",""7068"",""2813"",""2811"",""9435"",""3593"",""3860"",""11202"",""1237"",""3963"",""959"",""1280"",""9073"",""2488"",""10753"",""7771"",""6528"",""11254"",""5158"",""1208"",""10734"",""152"",""3750"",""2261"",""398"",""6712"",""3785"",""3291"",""9746"",""10964"",""6262"",""5055"",""7021"",""8786"",""3852"",""4929"",""1950""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN""],""gene_set_hash"":""3774d7244047"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.750 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.7497121796085175	0.7497121796085175	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'10686;10991;4842;7038;797;1271;1907;70;6707;4524	'fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	False
c_4ec8f17104b8	HALLMARK_HEME_METABOLISM	down	condition,tissue,perturbation,comparison	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	fgsea_msigdb_H_entrez	HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	M51055d1dfefb	False		669,535,3068,6710,2057,7145,119,3050,6386,682	669,535,3068,6710,2057,7145,119,3050,6386,682	669,535,3068,6710,2057,7145,119,3050,6386,682	51	51	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	766c49c1e0cf	0.43532813617387767	False	PASS	none	0.43532813617387767	PROXY_U01_OK		False	0	-1		7b007b339e40	False	hard	False	True	True	1.0	True	ok	"{""claim_id"":""c_4ec8f17104b8"",""entity"":""HALLMARK_HEME_METABOLISM"",""direction"":""down"",""context_keys"":[""condition"",""tissue"",""perturbation"",""comparison""],""context_evaluated"":false,""context_method"":""none"",""context_status"":null,""context_reason"":null,""context_notes"":null,""evidence_ref"":{""module_id"":""M51055d1dfefb"",""gene_ids"":[""669"",""535"",""3068"",""6710"",""2057"",""7145"",""119"",""3050"",""6386"",""682"",""210"",""1497"",""5909"",""4259"",""645"",""7029"",""6007"",""9663"",""760"",""11163"",""10133"",""3049"",""7504"",""8974"",""6917"",""9911"",""7150"",""2532"",""7351"",""4779"",""9958"",""7001"",""8991"",""8833"",""7037"",""6005"",""896"",""4778"",""212"",""2145"",""6513"",""2993"",""3386"",""10553"",""9258"",""4329"",""665"",""2038"",""10422"",""10841"",""5886""],""term_ids"":[""fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM""],""gene_set_hash"":""766c49c1e0cf"",""gene_set_hash_source"":""input"",""term_ids_has_raw"":false}}"	False	0.0	off	default	ranked=50; eligible=50; ineligible=0; picked=50; max_per_module=1; blocked_by_module_cap=9; relaxed=True; relax_passes=3; ctx_mode=off; ctx_gate=hard; ctx_swap=False; ctx_sig=7b007b339e40; ctx_hit_terms=0	50	50	0	50	9	True	3	1	0	deterministic		proxy_context_v2: u=0.435 p_fail=0.050 p_warn=0.200 key=['condition', 'tissue', 'perturbation', 'comparison'] ctx_sig=7b007b339e40	proxy	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	module_weight	0.0	0.0	EMPTY_WEIGHTS	0	4	0.43532813617387767	0.43532813617387767	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt	UCEC|tumor|genotype|TP53_mut_vs_TP53_wt			'669;535;3068;6710;2057;7145;119;3050;6386;682	'fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	False
