raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	fgsea_msigdb_H_entrez	-1.44640884236207	0.560340354882225	down	['350', '3764', '7076', '4023', '6696', '6578', '5553', '8993', '2260']		False		False	False	350;3764;7076;4023;6696;6578;5553;8993;2260	True		qval	True	missing	False	42	True	9	0	0	fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	evidence_perturb	True	1161	True	False	1		0.953125	61	64	computed	0.953125	b55f962bb235	0.953125	0.609375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9045138888888888	0.9045138888888888	1.0	0.953125	True	ok	off		M26257ec106b7	False	0.953125	1	1	term_survival:min
1	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	fgsea_msigdb_H_entrez	1.34604657996216	0.560340354882225	up	['5189', '10350', '2730', '3418', '3992', '847', '8424', '189', '3295', '8856', '2232', '3283', '8431', '8412', '5213', '10351', '6256', '335', '3417', '3422', '5190', '5194', '5191', '8443', '6820', '367', '6310', '8435', '9963', '10661']		False		False	False	5189;10350;2730;3418;3992;847;8424;189;3295;8856;2232;3283;8431;8412;5213;10351;6256;335;3417;3422;5190;5194;5191;8443;6820;367;6310;8435;9963;10661	True		qval	True	missing	False	42	True	30	0	1	fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	evidence_perturb	True	1161	True	False	1		0.984375	63	64	computed	0.984375	4c64260fa747	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.845703125	0.9020833333333335	0.9309961811030707	0.984375	True	ok	off		Mc7471ee70a5b	False	0.984375	1	1	term_survival:min
2	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	fgsea_msigdb_H_entrez	-1.33783495280166	0.560340354882225	down	['133', '2745', '5214', '3516', '5578', '1837', '5329', '2027', '7360', '5105', '6518', '1843', '680', '2239', '5209', '5054', '771', '1289', '1907', '9215', '3219', '3099', '5224', '9672', '5230', '5837', '7167', '3948', '226', '10397', '3484', '7128', '4627', '2817', '5155', '2113', '633', '3725', '9435']		False		False	False	133;2745;5214;3516;5578;1837;5329;2027;7360;5105;6518;1843;680;2239;5209;5054;771;1289;1907;9215;3219;3099;5224;9672;5230;5837;7167;3948;226;10397;3484;7128;4627;2817;5155;2113;633;3725;9435	True		qval	True	missing	False	42	True	39	0	2	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	evidence_perturb	True	1161	True	False	1		0.953125	61	64	computed	0.953125	c49e95adde8b	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8555640243902438	0.8994391025641026	0.9459193077801582	0.953125	True	ok	off		M9961352b5b75	False	0.9375	2	2	term_survival:min
3	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	fgsea_msigdb_H_entrez	-1.30642796406565	0.560340354882225	down	['2052', '126', '348', '2953', '8876', '2099', '1544', '8529', '5054', '7498', '2184', '1646', '53', '8644', '3728', '2538', '3931', '366', '10611', '10857', '5909', '9536', '645', '435', '5340', '3484', '4153', '6472', '5226', '5372', '10237', '9663', '760', '6539', '8460', '1725', '3554', '5950', '10728', '8942']		False		False	False	2052;126;348;2953;8876;2099;1544;8529;5054;7498;2184;1646;53;8644;3728;2538;3931;366;10611;10857;5909;9536;645;435;5340;3484;4153;6472;5226;5372;10237;9663;760;6539;8460;1725;3554;5950;10728;8942	True		qval	True	missing	False	42	True	40	0	3	fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	evidence_perturb	True	1161	True	False	1		0.984375	63	64	computed	0.984375	a84701f8603c	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8660714285714286	0.909375	0.947748269556076	0.984375	True	ok	off		Me85a0f3a5841	False	0.984375	1	1	term_survival:min
4	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	fgsea_msigdb_H_entrez	-1.28921635267257	0.560340354882225	down	['120', '1960', '5577', '11057', '9022', '2317', '771', '10160', '2852', '9215', '9455', '7033', '4681', '5618', '8204', '10874', '10497', '4299', '6566', '3705', '4886', '9536', '5241', '645', '1952', '7153', '3880', '7031', '573', '7494', '928', '4338', '5932', '10950', '760', '5265', '3860', '5364', '6491', '3158', '9135', '960', '4192']		False		False	False	120;1960;5577;11057;9022;2317;771;10160;2852;9215;9455;7033;4681;5618;8204;10874;10497;4299;6566;3705;4886;9536;5241;645;1952;7153;3880;7031;573;7494;928;4338;5932;10950;760;5265;3860;5364;6491;3158;9135;960;4192	True		qval	True	missing	False	42	True	43	0	4	fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	evidence_perturb	True	1161	True	False	1		0.9375	60	64	computed	0.9375	30160f6985dc	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8503472222222223	0.8898982558139534	0.9501842351288989	0.9375	True	ok	off		Me578153f0d36	False	0.921875	2	2	term_survival:min
5	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	fgsea_msigdb_H_entrez	1.25213367483027	0.560340354882225	up	['5557', '5440', '10189', '7298', '4833', '5437', '5434', '7508', '5435', '4860', '5436', '9013', '1479', '5432', '5888', '6829', '5424', '6878', '9328', '203', '2967', '5983', '9978', '100', '5430', '10946', '353']		False		False	False	5557;5440;10189;7298;4833;5437;5434;7508;5435;4860;5436;9013;1479;5432;5888;6829;5424;6878;9328;203;2967;5983;9978;100;5430;10946;353	True		qval	True	missing	False	42	True	27	0	5	fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	evidence_perturb	True	1161	True	False	1		0.953125	61	64	computed	0.953125	8a5ccb89ce75	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8850446428571429	0.917824074074074	0.9610727524790025	0.953125	True	ok	off		M4e6cb3239162	False	0.953125	1	1	term_survival:min
6	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	fgsea_msigdb_H_entrez	-1.25055462254289	0.560340354882225	down	['4983', '43', '1271', '2735', '5921', '3897', '8633', '5340', '4627', '7070', '6585', '5371', '9289']		False		False	False	4983;43;1271;2735;5921;3897;8633;5340;4627;7070;6585;5371;9289	True		qval	True	missing	False	42	True	13	0	6	fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	evidence_perturb	True	1161	True	False	1		0.890625	57	64	computed	0.890625	4001670a3b59	0.890625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8370535714285714	0.9014423076923077	0.9208195450382952	0.890625	True	ok	off		Mb5a4ca760b20	False	0.890625	1	1	term_survival:min
7	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	fgsea_msigdb_H_entrez	1.23379573325037	0.560340354882225	up	['2739', '3837', '708', '6240', '3184', '3192', '5706', '7298', '2058', '5887', '11137', '6418', '3015', '10921', '4173', '3475', '5478', '6626', '6950', '1977', '1665', '7965', '5093', '11335', '5690', '7913', '6059', '1017', '5704', '8761', '4869', '5714', '7416', '6175', '6188', '4171', '790', '7307', '5036', '4609', '7514', '9868', '6723', '3183']		False		False	False	2739;3837;708;6240;3184;3192;5706;7298;2058;5887;11137;6418;3015;10921;4173;3475;5478;6626;6950;1977;1665;7965;5093;11335;5690;7913;6059;1017;5704;8761;4869;5714;7416;6175;6188;4171;790;7307;5036;4609;7514;9868;6723;3183	True		qval	True	missing	False	42	True	44	0	7	fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	evidence_perturb	True	1161	True	False	1		1.0	64	64	computed	1.0	80fb54e3d4d1	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8658288043478262	0.9051846590909092	0.9521049128279813	1.0	True	ok	off		M2cb655dfd20e	False	0.9375	4	4	term_survival:min
8	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	fgsea_msigdb_H_entrez	-1.20319867736199	0.560340354882225	down	['5329', '2946', '214', '4023', '2770', '6721', '308', '928', '5359', '6713', '7108', '71', '4597', '3958', '4047', '6311']		False		False	False	5329;2946;214;4023;2770;6721;308;928;5359;6713;7108;71;4597;3958;4047;6311	True		qval	True	missing	False	42	True	16	0	8	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	evidence_perturb	True	1161	True	False	1		0.921875	59	64	computed	0.921875	2d562d704edf	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.838235294117647	0.890625	0.9339385453700713	0.921875	True	ok	off		M4c5d6a79eeb7	False	0.921875	1	1	term_survival:min
9	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	fgsea_msigdb_H_entrez	-1.18312189192424	0.560340354882225	down	['6892', '915', '3558', '6354', '10261', '567', '8664', '4318', '43', '7076', '5582', '914', '926', '5579', '3553', '2000', '3117', '5551', '3135', '356', '6189', '3551', '3001', '3109', '3122', '5917', '3624', '3112', '207', '4153', '322', '3589', '3455', '2113', '6203', '6363', '6123', '3133', '3593', '2634', '7098', '7070', '925', '6133', '958', '6357', '11222', '3002', '1445', '5788', '3592', '9466', '942', '959', '2833']		False		False	False	6892;915;3558;6354;10261;567;8664;4318;43;7076;5582;914;926;5579;3553;2000;3117;5551;3135;356;6189;3551;3001;3109;3122;5917;3624;3112;207;4153;322;3589;3455;2113;6203;6363;6123;3133;3593;2634;7098;7070;925;6133;958;6357;11222;3002;1445;5788;3592;9466;942;959;2833	True		qval	True	missing	False	42	True	55	0	9	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	evidence_perturb	True	1161	True	False	1		0.984375	63	64	computed	0.984375	3b5b4288763e	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8440193965517242	0.8900568181818181	0.9421437065594034	0.984375	True	ok	off		Ma2012cdd360f	False	0.984375	1	1	term_survival:min
