coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.828125	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.859375	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.890625	term_survival_agg	status	True	True
0.86	0.86	0.0	0.0	0.0	43.0	0.0	7.0	43.0	50.0	0.90625	term_survival_agg	status	True	True
0.8	0.8	0.0	0.0	0.0	40.0	0.0	10.0	40.0	50.0	0.921875	term_survival_agg	status	True	True
0.72	0.72	0.0	0.0	0.0	36.0	0.0	14.0	36.0	50.0	0.9375	term_survival_agg	status	True	True
0.64	0.64	0.0	0.0	0.0	32.0	0.0	18.0	32.0	50.0	0.953125	term_survival_agg	status	True	True
0.46	0.46	0.0	0.0	0.0	23.0	0.0	27.0	23.0	50.0	0.96875	term_survival_agg	status	True	True
0.44	0.44	0.0	0.0	0.0	22.0	0.0	28.0	22.0	50.0	0.984375	term_survival_agg	status	True	True
0.28	0.28	0.0	0.0	0.0	14.0	0.0	36.0	14.0	50.0	1.0	term_survival_agg	status	True	True
