term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M821d9dd60964
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	M2ce28d3f2703
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	M5991c306fcab
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	M26257ec106b7
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	M06700ee66336
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	Ma7b4ee0d947c
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	M4fdaf21bb6d8
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	Mc7471ee70a5b
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M4c5d6a79eeb7
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	M86dbbca009e6
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	M86dbbca009e6
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	M7f20c83d16e8
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	M92ee1517df1d
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Md8dcd828b61b
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	Me578153f0d36
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	Me578153f0d36
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	M6b0391976204
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	M74710f44e3ed
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	M3ae074549de6
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	Mb5a4ca760b20
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	M51055d1dfefb
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	M3ae074549de6
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	M639d1a044c5d
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	M639d1a044c5d
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	Md0f28b12d430
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	M639d1a044c5d
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	M639d1a044c5d
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M2af838d2647b
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	M583eecef9774
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	Mb0b53c1258d9
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M23e583c4b401
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	Mcbf980c78bd2
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	Mcbf980c78bd2
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	Md13424f02ff9
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	M923a6c3242ca
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	M667d1cedc63e
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	M48581aed16f9
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	M2d440478988d
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	M6b0391976204
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	M822b02b41ccc
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	M0d844240ef57
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mb903abdd8cb9
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	Me5bf33eb778b
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	Md7f6ff307c49
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	M10fba7957e13
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mf79baa98d027
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	M225a5534e729
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	M6aec9d8291bb
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M923a6c3242ca
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	Me85a0f3a5841
