coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.75	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.765625	term_survival_agg	status	True	True
0.92	0.92	0.0	0.0	0.0	46.0	0.0	4.0	46.0	50.0	0.78125	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.796875	term_survival_agg	status	True	True
0.84	0.84	0.0	0.0	0.0	42.0	0.0	8.0	42.0	50.0	0.8125	term_survival_agg	status	True	True
0.8	0.8	0.0	0.0	0.0	40.0	0.0	10.0	40.0	50.0	0.828125	term_survival_agg	status	True	True
0.78	0.78	0.0	0.0	0.0	39.0	0.0	11.0	39.0	50.0	0.84375	term_survival_agg	status	True	True
0.74	0.74	0.0	0.0	0.0	37.0	0.0	13.0	37.0	50.0	0.859375	term_survival_agg	status	True	True
0.68	0.68	0.0	0.0	0.0	34.0	0.0	16.0	34.0	50.0	0.875	term_survival_agg	status	True	True
0.64	0.64	0.0	0.0	0.0	32.0	0.0	18.0	32.0	50.0	0.890625	term_survival_agg	status	True	True
0.52	0.52	0.0	0.0	0.0	26.0	0.0	24.0	26.0	50.0	0.90625	term_survival_agg	status	True	True
0.44	0.44	0.0	0.0	0.0	22.0	0.0	28.0	22.0	50.0	0.921875	term_survival_agg	status	True	True
0.36	0.36	0.0	0.0	0.0	18.0	0.0	32.0	18.0	50.0	0.9375	term_survival_agg	status	True	True
0.2	0.2	0.0	0.0	0.0	10.0	0.0	40.0	10.0	50.0	0.953125	term_survival_agg	status	True	True
0.1	0.1	0.0	0.0	0.0	5.0	0.0	45.0	5.0	50.0	0.96875	term_survival_agg	status	True	True
0.04	0.04	0.0	0.0	0.0	2.0	0.0	48.0	2.0	50.0	0.984375	term_survival_agg	status	True	True
