coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.703125	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.71875	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.734375	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.765625	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.78125	term_survival_agg	status	True	True
0.78	0.78	0.0	0.0	0.0	39.0	0.0	11.0	39.0	50.0	0.796875	term_survival_agg	status	True	True
0.74	0.74	0.0	0.0	0.0	37.0	0.0	13.0	37.0	50.0	0.8125	term_survival_agg	status	True	True
0.72	0.72	0.0	0.0	0.0	36.0	0.0	14.0	36.0	50.0	0.828125	term_survival_agg	status	True	True
0.66	0.66	0.0	0.0	0.0	33.0	0.0	17.0	33.0	50.0	0.84375	term_survival_agg	status	True	True
0.6	0.6	0.0	0.0	0.0	30.0	0.0	20.0	30.0	50.0	0.859375	term_survival_agg	status	True	True
0.56	0.56	0.0	0.0	0.0	28.0	0.0	22.0	28.0	50.0	0.875	term_survival_agg	status	True	True
0.5	0.5	0.0	0.0	0.0	25.0	0.0	25.0	25.0	50.0	0.890625	term_survival_agg	status	True	True
0.48	0.48	0.0	0.0	0.0	24.0	0.0	26.0	24.0	50.0	0.90625	term_survival_agg	status	True	True
0.42	0.42	0.0	0.0	0.0	21.0	0.0	29.0	21.0	50.0	0.921875	term_survival_agg	status	True	True
0.32	0.32	0.0	0.0	0.0	16.0	0.0	34.0	16.0	50.0	0.9375	term_survival_agg	status	True	True
0.2	0.2	0.0	0.0	0.0	10.0	0.0	40.0	10.0	50.0	0.953125	term_survival_agg	status	True	True
0.04	0.04	0.0	0.0	0.0	2.0	0.0	48.0	2.0	50.0	0.96875	term_survival_agg	status	True	True
0.02	0.02	0.0	0.0	0.0	1.0	0.0	49.0	1.0	50.0	1.0	term_survival_agg	status	True	True
