coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.640625	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.671875	term_survival_agg	status	True	True
0.96	0.96	0.0	0.0	0.0	48.0	0.0	2.0	48.0	50.0	0.6875	term_survival_agg	status	True	True
0.94	0.94	0.0	0.0	0.0	47.0	0.0	3.0	47.0	50.0	0.71875	term_survival_agg	status	True	True
0.9	0.9	0.0	0.0	0.0	45.0	0.0	5.0	45.0	50.0	0.765625	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.78125	term_survival_agg	status	True	True
0.86	0.86	0.0	0.0	0.0	43.0	0.0	7.0	43.0	50.0	0.796875	term_survival_agg	status	True	True
0.76	0.76	0.0	0.0	0.0	38.0	0.0	12.0	38.0	50.0	0.828125	term_survival_agg	status	True	True
0.7	0.7	0.0	0.0	0.0	35.0	0.0	15.0	35.0	50.0	0.84375	term_survival_agg	status	True	True
0.62	0.62	0.0	0.0	0.0	31.0	0.0	19.0	31.0	50.0	0.859375	term_survival_agg	status	True	True
0.52	0.52	0.0	0.0	0.0	26.0	0.0	24.0	26.0	50.0	0.875	term_survival_agg	status	True	True
0.44	0.44	0.0	0.0	0.0	22.0	0.0	28.0	22.0	50.0	0.890625	term_survival_agg	status	True	True
0.34	0.34	0.0	0.0	0.0	17.0	0.0	33.0	17.0	50.0	0.90625	term_survival_agg	status	True	True
0.3	0.3	0.0	0.0	0.0	15.0	0.0	35.0	15.0	50.0	0.921875	term_survival_agg	status	True	True
0.24	0.24	0.0	0.0	0.0	12.0	0.0	38.0	12.0	50.0	0.9375	term_survival_agg	status	True	True
0.16	0.16	0.0	0.0	0.0	8.0	0.0	42.0	8.0	50.0	0.953125	term_survival_agg	status	True	True
0.08	0.08	0.0	0.0	0.0	4.0	0.0	46.0	4.0	50.0	0.96875	term_survival_agg	status	True	True
0.04	0.04	0.0	0.0	0.0	2.0	0.0	48.0	2.0	50.0	0.984375	term_survival_agg	status	True	True
