module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M00189b973d19	1	1	12	['8350', '8358', '10389', '1487', '1488', '1911', '2145', '2146', '6015', '6322']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119']	8350;8358;10389;1487;1488;1911;2145;2146;6015;6322	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GENE_SILENCING_BY_METHYLATION_OF_H3K27_AND_UBIQUITINATION_OF_H2AK119	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	662216cf0f62	003044159657	00189b973d19	0.90625	1	1	term_survival:min
M04255cb94ff9	2	2	12	['5595', '4615', '3725', '1432', '5599', '5602', '5605', '1843', '1844', '1847']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY']	5595;4615;3725;1432;5599;5602;5605;1843;1844;1847	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_PTP;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR2_4_MAPK_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	5febac44f596	403e50ea9afe	04255cb94ff9	0.703125	2	2	term_survival:min
M08f2fd59d745	3	2	14	['9978', '2967', '1022', '5430', '5431', '5432', '5434', '5435', '5436', '5437']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TRANSCRIPTION_COUPLED_NER']	9978;2967;1022;5430;5431;5432;5434;5435;5436;5437	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_GLOBAL_GENOME_NER;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TRANSCRIPTION_COUPLED_NER	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	0197f5107a71	ee17d3b1b31a	08f2fd59d745	0.875	2	2	term_survival:min
M0964925fa767	4	13	16	['3441', '3444', '3449', '3451', '3452', '4615', '3455', '4790', '10010', '3551']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HIV_TAT_TO_TLR2_4_NFKB_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR3_IRF7_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY']	3441;3444;3449;3451;3452;4615;3455;4790;10010;3551	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HIV_TAT_TO_TLR2_4_NFKB_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CGAS_STING_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_IFN_RIPK1_3_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_MDA5_IRF7_3_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RIG_I_IRF7_3_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RIG_I_NFKB_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR3_IRF7_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR5_NFKB_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR7_8_9_IRF5_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TLR7_9_IRF7_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	1c40c7c9e752	2dbe597d802a	0964925fa767	0.796875	13	13	term_survival:min
M0ace5037a36b	5	1	8	['10138', '10919', '11091', '11335', '3720', '5931', '7027', '8726']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES']	10138;10919;11091;11335;3720;5931;7027;8726	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	eb318b5cd44f	5041307f3e08	0ace5037a36b	0.78125	1	1	term_survival:min
M0bdbd0f896ed	6	1	2	['673', '3265']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY']	673;3265	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_ERBB2_RAS_ERK_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	2deb02aadf36	15928f75c259	0bdbd0f896ed	0.78125	1	1	term_survival:min
M19652753c643	7	2	6	['10671', '1767', '1768', '10383', '1770', '7277']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT']	10671;1767;1768;10383;1770;7277	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_RETROGRADE_AXONAL_TRANSPORT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	3f1730964d89	8d7f3dee9614	19652753c643	0.671875	2	2	term_survival:min
M1d9160069f37	8	1	23	['3921', '6122', '6125', '6133', '6135', '6137', '6138', '6139', '6144', '6146']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION']	3921;6122;6125;6133;6135;6137;6138;6139;6144;6146	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	629daac24b04	887d3e6f7a38	1d9160069f37	0.890625	1	1	term_survival:min
M21d6202eaf16	9	22	53	['10681', '1388', '2782', '9586', '468', '4893', '801', '5291', '5293', '208']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_PI3K_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY']	10681;1388;2782;9586;468;4893;801;5291;5293;208	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HCMV_UL33_TO_GNB_G_RHO_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ACH_CHRN_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_AREG_EGFR_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_CRHR_PKA_ACTH_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_EGF_EGFR_RAS_PI3K_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FGF_FGFR_PI3K_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FGF_FGFR_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_FLT3LG_FLT3_RAS_PI3K_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_KITLG_KIT_RAS_ERK_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_PRNP_PI3K_NOX2_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_RELN_VLDLR_PI3K_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TNF_P38_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_TSH_TG_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_CACNA1D_H_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_GNAS_TO_CRHR_PKA_ACTH_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_KCNJ5_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP1A1_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_ATP2B3_TO_ANGIOTENSIN_ALDOSTERONE_SIGNALING_PATHWAY;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PDE11A_PDE8B_TO_ACTH_CORTISOL_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	8190fe77e5b9	882fc951cd12	21d6202eaf16	0.65625	22	22	term_survival:min
M27856c6fc2ee	10	2	8	['3109', '3112', '3113', '3115', '3117', '3122', '3126', '3127']	['fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION', 'fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES']	3109;3112;3113;3115;3117;3122;3126;3127	fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_PATHOGEN_HTLV_1_TAX_TO_NFY_MEDIATED_TRANSCRIPTION;fgsea_msigdb_C2_CP_KEGG_MEDICUS_entrez:KEGG_MEDICUS_REFERENCE_ANTIGEN_PROCESSING_AND_PRESENTATION_BY_MHC_CLASS_II_MOLECULES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	e97c141abb34	082f16c35e8f	27856c6fc2ee	0.890625	2	2	term_survival:min
