coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.78125	term_survival_agg	status	True	True
0.88	0.88	0.0	0.0	0.0	44.0	0.0	6.0	44.0	50.0	0.796875	term_survival_agg	status	True	True
0.82	0.82	0.0	0.0	0.0	41.0	0.0	9.0	41.0	50.0	0.8125	term_survival_agg	status	True	True
0.76	0.76	0.0	0.0	0.0	38.0	0.0	12.0	38.0	50.0	0.828125	term_survival_agg	status	True	True
0.72	0.72	0.0	0.0	0.0	36.0	0.0	14.0	36.0	50.0	0.84375	term_survival_agg	status	True	True
0.7	0.7	0.0	0.0	0.0	35.0	0.0	15.0	35.0	50.0	0.859375	term_survival_agg	status	True	True
0.64	0.64	0.0	0.0	0.0	32.0	0.0	18.0	32.0	50.0	0.875	term_survival_agg	status	True	True
0.62	0.62	0.0	0.0	0.0	31.0	0.0	19.0	31.0	50.0	0.890625	term_survival_agg	status	True	True
0.58	0.58	0.0	0.0	0.0	29.0	0.0	21.0	29.0	50.0	0.90625	term_survival_agg	status	True	True
0.48	0.48	0.0	0.0	0.0	24.0	0.0	26.0	24.0	50.0	0.921875	term_survival_agg	status	True	True
0.4	0.4	0.0	0.0	0.0	20.0	0.0	30.0	20.0	50.0	0.9375	term_survival_agg	status	True	True
0.22	0.22	0.0	0.0	0.0	11.0	0.0	39.0	11.0	50.0	0.953125	term_survival_agg	status	True	True
0.14	0.14	0.0	0.0	0.0	7.0	0.0	43.0	7.0	50.0	0.96875	term_survival_agg	status	True	True
0.04	0.04	0.0	0.0	0.0	2.0	0.0	48.0	2.0	50.0	0.984375	term_survival_agg	status	True	True
