coverage_pass_total	coverage_decided_total	risk_fail_given_decided	risk_fail_total	fail_rate_total	n_pass	n_fail	n_abstain	n_decided	n_total	threshold	score_col	status_col	pass_if_score_ge	promote_abstain
1.0	1.0	0.0	0.0	0.0	50.0	0.0	0.0	50.0	50.0	0.859375	term_survival_agg	status	True	True
0.98	0.98	0.0	0.0	0.0	49.0	0.0	1.0	49.0	50.0	0.875	term_survival_agg	status	True	True
0.82	0.82	0.0	0.0	0.0	41.0	0.0	9.0	41.0	50.0	0.890625	term_survival_agg	status	True	True
0.7	0.7	0.0	0.0	0.0	35.0	0.0	15.0	35.0	50.0	0.90625	term_survival_agg	status	True	True
0.6	0.6	0.0	0.0	0.0	30.0	0.0	20.0	30.0	50.0	0.921875	term_survival_agg	status	True	True
0.38	0.38	0.0	0.0	0.0	19.0	0.0	31.0	19.0	50.0	0.9375	term_survival_agg	status	True	True
0.28	0.28	0.0	0.0	0.0	14.0	0.0	36.0	14.0	50.0	0.953125	term_survival_agg	status	True	True
0.18	0.18	0.0	0.0	0.0	9.0	0.0	41.0	9.0	50.0	0.96875	term_survival_agg	status	True	True
0.12	0.12	0.0	0.0	0.0	6.0	0.0	44.0	6.0	50.0	0.984375	term_survival_agg	status	True	True
0.04	0.04	0.0	0.0	0.0	2.0	0.0	48.0	2.0	50.0	1.0	term_survival_agg	status	True	True
