raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.78751119139419	0.265517849871644	down	['6256', '8331', '1050', '2313', '8346', '8341', '8364', '3021', '8366', '8354', '1051', '1053', '3018', '688', '4609', '8360', '2033', '861', '7027', '865', '8356', '8368', '4602', '8355', '8359', '8340', '8294', '8353', '6886', '8349', '8352']		False		False	False	6256;8331;1050;2313;8346;8341;8364;3021;8366;8354;1051;1053;3018;688;4609;8360;2033;861;7027;865;8356;8368;4602;8355;8359;8340;8294;8353;6886;8349;8352	True		qval	True	missing	False	42	True	31	0	0	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	evidence_perturb	True	2900	True	False	1		0.984375	63	64	computed	0.984375	ef9c96ba3abd	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8551136363636365	0.9102822580645162	0.9336718404008884	0.984375	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
1	REACTOME_SIGNALING_BY_INTERLEUKINS	REACTOME_SIGNALING_BY_INTERLEUKINS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.48605049582796	0.265517849871644	up	['3578', '3576', '7409', '3581', '6347', '3606', '5706', '3593', '3589', '1511', '3383', '351', '9021', '3684', '6351', '5296', '177', '7525', '3601', '1438', '3553', '6950', '5657', '7534', '3575', '5694', '6778', '829', '7311', '3146', '1265', '8809', '8945', '5705', '1846', '3654', '8835', '5896', '6850', '5708', '5528', '11141', '5691', '3597', '246', '11213', '6776', '9235', '5970', '10454', '3662', '5782', '5781', '5775', '11274', '3586', '595', '3574', '8808', '3565', '3557', '4001', '3600', '6647', '2208', '3162', '2353', '5062', '5908', '3091', '7076', '9466', '8968', '5803', '5897', '1385', '5604', '4215', '9978', '3082', '5721', '1326', '3605', '5443', '3497', '5682', '5566', '4208', '6363', '6175', '3566', '3567', '1278', '5609', '1901', '4843', '3503', '3716', '3500']		False		False	False	3578;3576;7409;3581;6347;3606;5706;3593;3589;1511;3383;351;9021;3684;6351;5296;177;7525;3601;1438;3553;6950;5657;7534;3575;5694;6778;829;7311;3146;1265;8809;8945;5705;1846;3654;8835;5896;6850;5708;5528;11141;5691;3597;246;11213;6776;9235;5970;10454;3662;5782;5781;5775;11274;3586;595;3574;8808;3565;3557;4001;3600;6647;2208;3162;2353;5062;5908;3091;7076;9466;8968;5803;5897;1385;5604;4215;9978;3082;5721;1326;3605;5443;3497;5682;5566;4208;6363;6175;3566;3567;1278;5609;1901;4843;3503;3716;3500	True		qval	True	missing	False	42	True	99	0	1	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_INTERLEUKINS	evidence_perturb	True	2900	True	False	1		1.0	64	64	computed	1.0	decd5fef300a	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8556189903846153	0.8988320707070707	0.9467557115487257	1.0	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
2	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.85191283828379	0.289404788363317	down	['5347', '8331', '8346', '8341', '8364', '983', '3021', '8366', '8354', '3018', '8360', '5925', '8356', '8368', '6418', '10592', '8355', '8359', '8340', '891', '8294', '8353', '8349', '8352']		False		False	False	5347;8331;8346;8341;8364;983;3021;8366;8354;3018;8360;5925;8356;8368;6418;10592;8355;8359;8340;891;8294;8353;8349;8352	True		qval	True	missing	False	42	True	24	0	2	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	evidence_perturb	True	2900	True	False	1		0.921875	59	64	computed	0.921875	e947a732e808	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8687499999999999	0.9049479166666666	0.9557889017566148	0.921875	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
3	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	fgsea_msigdb_C2_CP_REACTOME_entrez	1.84299253642481	0.426802048068877	up	['2890', '163', '7102', '2893', '160', '9463', '2892']		False		False	False	2890;163;7102;2893;160;9463;2892	True		qval	True	missing	False	42	True	7	0	3	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	evidence_perturb	True	2900	True	False	1		0.703125	45	64	computed	0.703125	79910294610e	0.703125	0.578125	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8660714285714285	0.8660714285714285	1.0	0.703125	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
4	REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.81234692363646	0.426802048068877	down	['5770', '6233', '8027', '9146', '6455', '9101', '5795', '2885', '7314', '5771', '10254', '6456']		False		False	False	5770;6233;8027;9146;6455;9101;5795;2885;7314;5771;10254;6456	True		qval	True	missing	False	42	True	12	0	4	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY	evidence_perturb	True	2900	True	False	1		0.84375	54	64	computed	0.84375	faf255f73f4f	0.84375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8221153846153846	0.890625	0.913697673853924	0.84375	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
5	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	fgsea_msigdb_C2_CP_REACTOME_entrez	1.7658734526022	0.426802048068877	up	['10694', '5204', '10693', '6950', '10381', '5203', '10575', '10383', '60', '5202', '5201', '7203', '7846', '10471', '7280']		False		False	False	10694;5204;10693;6950;10381;5203;10575;10383;60;5202;5201;7203;7846;10471;7280	True		qval	True	missing	False	42	True	15	0	5	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	evidence_perturb	True	2900	True	False	1		0.9375	60	64	computed	0.9375	8cbc3506b48e	0.9375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.853515625	0.9104166666666667	0.9311677255036632	0.9375	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
6	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.71999456131873	0.426802048068877	down	['3065', '7090', '8331', '8313', '8346', '8341', '8364', '3021', '8366', '5929', '8354', '3018', '4609', '8360', '7015', '1499', '2033', '8356', '8368', '8355', '7091', '8359', '8340', '10524', '8294', '8353', '8349', '8352']		False		False	False	3065;7090;8331;8313;8346;8341;8364;3021;8366;5929;8354;3018;4609;8360;7015;1499;2033;8356;8368;8355;7091;8359;8340;10524;8294;8353;8349;8352	True		qval	True	missing	False	42	True	28	0	6	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	evidence_perturb	True	2900	True	False	1		0.875	56	64	computed	0.875	7057feeabb49	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8620689655172413	0.8928571428571429	0.9613168175224257	0.875	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
7	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.68224504766806	0.426802048068877	down	['8331', '8346', '8341', '8364', '3021', '8366', '8354', '3018', '8360', '8356', '8368', '8355', '8359', '367', '8340', '8294', '8353', '8349', '8352', '8358', '8343', '8342', '10499', '5585', '8345', '8357', '8347', '8344', '354', '8361', '8370', '3012', '3017']		False		False	False	8331;8346;8341;8364;3021;8366;8354;3018;8360;8356;8368;8355;8359;367;8340;8294;8353;8349;8352;8358;8343;8342;10499;5585;8345;8357;8347;8344;354;8361;8370;3012;3017	True		qval	True	missing	False	42	True	33	0	7	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	evidence_perturb	True	2900	True	False	1		0.953125	61	64	computed	0.953125	7534fb31dc55	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8544642857142857	0.9062500000000001	0.9371660878680526	0.953125	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
8	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.68147973318491	0.426802048068877	down	['3065', '8331', '8346', '8341', '8364', '3021', '8366', '5929', '8354', '3018', '8360', '11091', '2033', '861', '865', '8356', '8368', '8355', '8850', '8359', '8340', '8294', '8353', '8349', '8352', '8358', '5588', '8343']		False		False	False	3065;8331;8346;8341;8364;3021;8366;5929;8354;3018;8360;11091;2033;861;865;8356;8368;8355;8850;8359;8340;8294;8353;8349;8352;8358;5588;8343	True		qval	True	missing	False	42	True	28	0	8	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	evidence_perturb	True	2900	True	False	1		0.953125	61	64	computed	0.953125	57e81f6c288a	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8674568965517241	0.8984375	0.9616582888252913	0.953125	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
9	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	fgsea_msigdb_C2_CP_REACTOME_entrez	-1.60595305313102	0.426802048068877	down	['6256', '8331', '11343', '8800', '1050', '8346', '8648', '8341', '8364', '3021', '8366', '5929', '8354', '3018', '8360', '11091', '5925', '2033', '948', '8356', '892', '8368', '3991', '8031', '8355', '8359', '8340', '123', '8294', '8353', '8349', '8352', '10891', '2167', '8358', '25', '10025', '8343', '8342', '8202', '10499', '8345', '8357', '9442', '8347', '9862', '9969']		False		False	False	6256;8331;11343;8800;1050;8346;8648;8341;8364;3021;8366;5929;8354;3018;8360;11091;5925;2033;948;8356;892;8368;3991;8031;8355;8359;8340;123;8294;8353;8349;8352;10891;2167;8358;25;10025;8343;8342;8202;10499;8345;8357;9442;8347;9862;9969	True		qval	True	missing	False	42	True	47	0	9	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION_BY_MLL3_AND_MLL4_COMPLEXES	evidence_perturb	True	2900	True	False	1		0.96875	62	64	computed	0.96875	8016842e3a28	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8670280612244897	0.9039228723404256	0.9549394354826608	0.96875	True	ok	off		M1baaa95b8732	False	0.515625	860	860	term_survival:min
