raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source	stress_drop_count
0	GOBP_REGULATION_OF_RNA_SPLICING	GOBP_REGULATION_OF_RNA_SPLICING	fgsea_msigdb_C5_GO_BP_entrez	1.79028256351313	0.134485129360805	up	['8882', '676', '708', '10250', '3192', '2926', '9588', '10659', '4928', '9939', '10922', '10921', '1153', '9991', '11189', '10084', '6733', '3187', '1195', '7536', '3185', '4869', '1859', '5430', '7009', '3188', '6433', '8227']		False		False	False	8882,676,708,10250,3192,2926,9588,10659,4928,9939,10922,10921,1153,9991,11189,10084,6733,3187,1195,7536,3185,4869,1859,5430,7009,3188,6433,8227	True		qval	True	missing	False	42	True	32	0	0	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_RNA_SPLICING	evidence_perturb	True	4134	True	False	1		0.953125	61	64	computed	0.953125	734524b067f5	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.848345588235294	0.9013671875	0.9349626491482435	0.953125	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	4
1	GOBP_CELL_JUNCTION_ASSEMBLY	GOBP_CELL_JUNCTION_ASSEMBLY	fgsea_msigdb_C5_GO_BP_entrez	-1.5583564821449	0.134485129360805	down	['389', '1946', '10686', '7082', '10243', '5578', '4983', '5010', '3764', '2185', '2258', '43', '2916', '10507', '2239', '9971', '7145', '119', '5911', '2823', '8394', '627', '2554', '1004', '1000', '10160', '5062', '3553', '1830', '9215', '5818', '1020', '5796', '3728', '3791', '2561', '10611', '2260', '575', '3551', '10211', '1002', '4088', '1364', '8883', '1828', '5770', '9732', '7122', '7248', '9344', '6495', '1948', '5583', '324', '2567', '9076', '1072', '928', '5361', '8874', '11037', '2066', '5362', '3691', '5789', '6092', '71', '9075', '7070', '5364', '8934', '7474', '10804', '1001', '3987', '60', '395', '1308', '5586', '351', '6585', '11178', '667', '2824', '2556', '9073']		False		False	False	389,1946,10686,7082,10243,5578,4983,5010,3764,2185,2258,43,2916,10507,2239,9971,7145,119,5911,2823,8394,627,2554,1004,1000,10160,5062,3553,1830,9215,5818,1020,5796,3728,3791,2561,10611,2260,575,3551,10211,1002,4088,1364,8883,1828,5770,9732,7122,7248,9344,6495,1948,5583,324,2567,9076,1072,928,5361,8874,11037,2066,5362,3691,5789,6092,71,9075,7070,5364,8934,7474,10804,1001,3987,60,395,1308,5586,351,6585,11178,667,2824,2556,9073	True		qval	True	missing	False	42	True	91	0	1	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELL_JUNCTION_ASSEMBLY	evidence_perturb	True	4134	True	False	1		1.0	64	64	computed	1.0	11dac6aa32f0	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8525390625	0.8993818681318682	0.9423678814028273	1.0	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	4
2	GOBP_DNA_CONFORMATION_CHANGE	GOBP_DNA_CONFORMATION_CHANGE	fgsea_msigdb_C5_GO_BP_entrez	-1.95733983378364	0.488853530599994	down	['7156', '7153', '3149', '3146', '641', '7150', '3148', '7155']		False		False	False	7156,7153,3149,3146,641,7150,3148,7155	True		qval	True	missing	False	42	True	10	0	2	fgsea_msigdb_C5_GO_BP_entrez:GOBP_DNA_CONFORMATION_CHANGE	evidence_perturb	True	4134	True	False	1		0.953125	61	64	computed	0.953125	0e1ea11e449d	0.953125	0.625	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9187500000000001	0.9187500000000001	1.0	0.953125	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	2
3	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	fgsea_msigdb_C5_GO_BP_entrez	-1.89865342117569	0.488853530599994	down	['673', '5906', '5023', '5582', '5413', '5579', '774', '1020', '808', '5217', '6861']		False		False	False	673,5906,5023,5582,5413,5579,774,1020,808,5217,6861	True		qval	True	missing	False	42	True	11	0	3	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_SYNAPTIC_VESICLE_EXOCYTOSIS	evidence_perturb	True	4134	True	False	1		0.96875	62	64	computed	0.96875	8a80aee26314	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8307291666666667	0.90625	0.9082662563131314	0.96875	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
4	GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	fgsea_msigdb_C5_GO_BP_entrez	-1.76047102712061	0.488853530599994	down	['673', '4780', '3676', '5054', '9037', '2852', '5598', '8644', '2266', '3135', '2624', '356', '3791', '5770', '7128', '3589', '7494']		False		False	False	673,4780,3676,5054,9037,2852,5598,8644,2266,3135,2624,356,3791,5770,7128,3589,7494	True		qval	True	missing	False	42	True	17	0	4	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	evidence_perturb	True	4134	True	False	1		0.953125	61	64	computed	0.953125	5a0f353a3d9a	0.953125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8480902777777777	0.8979779411764706	0.9382172821051498	0.953125	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
5	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	fgsea_msigdb_C5_GO_BP_entrez	1.74007517074293	0.488853530599994	up	['10658', '708', '10250', '3192', '9588', '10659', '10657', '4928', '9939', '10921', '1153', '11189', '10521', '6733', '7536', '4869', '1859']		False		False	False	10658,708,10250,3192,9588,10659,10657,4928,9939,10921,1153,11189,10521,6733,7536,4869,1859	True		qval	True	missing	False	42	True	17	0	5	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	evidence_perturb	True	4134	True	False	1		0.875	56	64	computed	0.875	2f556fa367c2	0.875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8376736111111112	0.8869485294117647	0.9373072661101155	0.875	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
6	GOBP_REGULATION_OF_VASOCONSTRICTION	GOBP_REGULATION_OF_VASOCONSTRICTION	fgsea_msigdb_C5_GO_BP_entrez	-1.73776751397115	0.488853530599994	down	['133', '120', '5021', '5023', '490', '3676', '1907', '2266', '148', '10273', '551', '4544', '9732']		False		False	False	133,120,5021,5023,490,3676,1907,2266,148,10273,551,4544,9732	True		qval	True	missing	False	42	True	13	0	6	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_VASOCONSTRICTION	evidence_perturb	True	4134	True	False	1		0.828125	53	64	computed	0.828125	b32b7eaa882f	0.828125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8258928571428571	0.8894230769230769	0.9198728354978356	0.828125	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
7	GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	fgsea_msigdb_C5_GO_BP_entrez	-1.66522906232034	0.488853530599994	down	['10162', '348', '10062', '10938', '8529', '5360', '1588', '4023', '8792', '6696', '3553', '1622', '10226', '356', '5027', '6721', '9536', '8600', '32']		False		False	False	10162,348,10062,10938,8529,5360,1588,4023,8792,6696,3553,1622,10226,356,5027,6721,9536,8600,32	True		qval	True	missing	False	42	True	19	0	7	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	evidence_perturb	True	4134	True	False	1		0.921875	59	64	computed	0.921875	c3aae7d117e9	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.86796875	0.9136513157894737	0.9451454732112143	0.921875	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
8	GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	fgsea_msigdb_C5_GO_BP_entrez	-1.57752908769151	0.488853530599994	down	['673', '4842', '5906', '5023', '5582', '5413', '5579', '2852', '6572', '774', '5865', '1020', '808', '632', '5217', '6861', '1861', '10211', '5071']		False		False	False	673,4842,5906,5023,5582,5413,5579,2852,6572,774,5865,1020,808,632,5217,6861,1861,10211,5071	True		qval	True	missing	False	42	True	19	0	8	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	evidence_perturb	True	4134	True	False	1		0.828125	53	64	computed	0.828125	2772750b1532	0.828125	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.846875	0.8914473684210527	0.9439230736154112	0.828125	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
9	GOBP_SYNAPSE_ASSEMBLY	GOBP_SYNAPSE_ASSEMBLY	fgsea_msigdb_C5_GO_BP_entrez	-1.52750436074287	0.488853530599994	down	['1946', '10243', '5578', '3764', '2185', '2258', '43', '2916', '10507', '2239', '119', '5911', '2823', '627', '2554', '1000', '10160', '9215', '5818', '1020', '4915', '2561', '10611', '2260', '575', '8883', '5770', '9732', '6495', '1948', '2567', '5361', '2066', '5362', '5789', '6092', '5364', '8934', '7474']		False		False	False	1946,10243,5578,3764,2185,2258,43,2916,10507,2239,119,5911,2823,627,2554,1000,10160,9215,5818,1020,4915,2561,10611,2260,575,8883,5770,9732,6495,1948,2567,5361,2066,5362,5789,6092,5364,8934,7474	True		qval	True	missing	False	42	True	39	0	9	fgsea_msigdb_C5_GO_BP_entrez:GOBP_SYNAPSE_ASSEMBLY	evidence_perturb	True	4134	True	False	1		0.984375	63	64	computed	0.984375	1f478bf65013	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8536585365853657	0.8974358974358976	0.9458274355572693	0.984375	True	ok	off		Me824fa39e3f0	False	0.453125	3386	3386	term_survival:min	0
