term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M03a383e6e086
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	Mb6f784110271
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	M27669b8fa9e7
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	Me6bf443283c2
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	Mf906280fa5e1
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	M87d4af946e3f
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	Mdf6350d89cee
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	Mf6a5663747ad
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M5ff3f8386599
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	Mdcc8d9bd6d7f
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	Mdcc8d9bd6d7f
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	Mdd3caae7261b
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	M0b67a17cb0b6
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Mdcc8d9bd6d7f
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	M849a4c0e7f2d
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	M8e5c1d28573e
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	M461f65de8e09
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	M0b67a17cb0b6
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	M35834cd98de2
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	M0332a8692e9e
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	Me43c4cd101bd
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	M35834cd98de2
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	M0b9664e418b9
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	Ma4188ca7ae89
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	Mdcc8d9bd6d7f
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	Mb6f784110271
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	Mb6f784110271
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M740963684598
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	M2cccf9a9ec24
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	M719ba53cf8d5
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M852823ef4bff
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	M0b67a17cb0b6
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	Me56b74484d20
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	Me334011e2fa6
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	Mea4001d70482
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	M03a383e6e086
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	Maf269dcd4575
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	M3297d664d230
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	M316384fde50c
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	M18fc283a10b1
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	Md4f5e0a53b7c
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Mf1237f2d6d20
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	M63bca3f82c8e
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	M6f6e9e05805a
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	Mdf6350d89cee
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Mcf69f9e4157c
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	M941252af0645
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	M210904edebae
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M591a524fec18
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	M557bebe138f3
