module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M04d093193c05	1	3	112	['3251', '4869', '5111', '9221', '1019', '10549', '1965', '5036', '7037', '9136']	['fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2']	3251;4869;5111;9221;1019;10549;1965;5036;7037;9136	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	a5ef9d5bd3db	96939f52d71f	04d093193c05	0.890625	3	3	term_survival:min
M1b5332fdef19	2	1	15	['3638', '1718', '11047', '2181', '2773', '3977', '6611', '6652', '87', '10513']	['fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE']	3638;1718;11047;2181;2773;3977;6611;6652;87;10513	fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	96be8d1cf85d	407f516977b3	1b5332fdef19	0.953125	1	1	term_survival:min
M1cfdfe9fc0ab	3	1	17	['8082', '5066', '667', '102', '10282', '10959', '1203', '372', '375', '525']	['fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION']	8082;5066;667;102;10282;10959;1203;372;375;525	fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	4f8f2ba5258e	1d6fcdcb45a3	1cfdfe9fc0ab	0.953125	1	1	term_survival:min
M2419988392a1	4	1	18	['650', '3398', '5045', '3460', '4088', '7323', '11031', '2339', '3397', '3399']	['fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING']	650;3398;5045;3460;4088;7323;11031;2339;3397;3399	fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	5c5f250cb5e3	cfd94283ed03	2419988392a1	0.9375	1	1	term_survival:min
M2e562fe135a0	5	1	36	['3251', '5111', '100', '10063', '10134', '10714', '11051', '203', '2073', '5429']	['fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR']	3251;5111;100;10063;10134;10714;11051;203;2073;5429	fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	ae7f9f42f1d6	81e3051b1ef4	2e562fe135a0	0.96875	1	1	term_survival:min
M354092e4223a	6	1	35	['8900', '2146', '2571', '3416', '4744', '6790', '9053', '9133', '10693', '10926']	['fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS']	8900;2146;2571;3416;4744;6790;9053;9133;10693;10926	fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	25620615c1b6	ecaed5b4b628	354092e4223a	0.984375	1	1	term_survival:min
M35cb92dc9ae1	7	1	24	['650', '3659', '3572', '5045', '5243', '10439', '2052', '7037', '1036', '1267']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP']	650;3659;3572;5045;5243;10439;2052;7037;1036;1267	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	b9c684f80797	d6b42082f884	35cb92dc9ae1	0.9375	1	1	term_survival:min
M45f53a2ec73d	8	2	46	['3659', '3932', '5045', '629', '11098', '11202', '1191', '1848', '2159', '462']	['fgsea_msigdb_H_entrez:HALLMARK_COAGULATION', 'fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT']	3659;3932;5045;629;11098;11202;1191;1848;2159;462	fgsea_msigdb_H_entrez:HALLMARK_COAGULATION;fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	b33f56735886	0244913ae3fc	45f53a2ec73d	0.890625	2	2	term_survival:min
M4b91b9d3c474	9	1	44	['650', '894', '5111', '11202', '1839', '2052', '2232', '467', '100', '1012']	['fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY']	650;894;5111;11202;1839;2052;2232;467;100;1012	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	d89dadd0d382	dd4fcc269550	4b91b9d3c474	0.984375	1	1	term_survival:min
M4bfd51b3579f	10	1	51	['650', '3398', '894', '1437', '5243', '629', '1839', '1848', '1363', '2995']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP']	650;3398;894;1437;5243;629;1839;1848;1363;2995	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	200	0	e2a24c6bd69a	6c68804f75a6	4bfd51b3579f	0.96875	1	1	term_survival:min
