term_uid	module_id
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	M2845e04f5641
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	Ma0f1cf572f8a
fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	Mc9bcce779f31
fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	M736be4f3a5ea
fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	Md463544bbc28
fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	M961d3fe58c93
fgsea_msigdb_H_entrez:HALLMARK_APOPTOSIS	M4c12a69c80c1
fgsea_msigdb_H_entrez:HALLMARK_BILE_ACID_METABOLISM	M2c13dab23404
fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	M9d7bcc265342
fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	Mb7109d1ae4bf
fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	Mbc4efa44368e
fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	M76da045fbea9
fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS	Mbf403e4349a9
fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	M0bd199de3ec6
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_EARLY	Mff2d8975894b
fgsea_msigdb_H_entrez:HALLMARK_ESTROGEN_RESPONSE_LATE	Mff2d8975894b
fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM	Mad8a78c410bb
fgsea_msigdb_H_entrez:HALLMARK_G2M_CHECKPOINT	Mbf403e4349a9
fgsea_msigdb_H_entrez:HALLMARK_GLYCOLYSIS	M8978ffe33f91
fgsea_msigdb_H_entrez:HALLMARK_HEDGEHOG_SIGNALING	Md54144a27bb8
fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	M43e552b3ac6b
fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	M8978ffe33f91
fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	M652501b0a03d
fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING	M554c5c4293dd
fgsea_msigdb_H_entrez:HALLMARK_INFLAMMATORY_RESPONSE	M0bd199de3ec6
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	M554c5c4293dd
fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	M554c5c4293dd
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	M4470f9aea891
fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	Mefbc43c285ba
fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	Mb86494f8a985
fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING	M8e9df9c4a39d
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1	Mbf403e4349a9
fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	Mbf403e4349a9
fgsea_msigdb_H_entrez:HALLMARK_MYOGENESIS	M964319a9003c
fgsea_msigdb_H_entrez:HALLMARK_NOTCH_SIGNALING	M976c4e27c864
fgsea_msigdb_H_entrez:HALLMARK_OXIDATIVE_PHOSPHORYLATION	M2845e04f5641
fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	M9f10612cb492
fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	M4171f5317fa6
fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	Mf3d9bee3f998
fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	M1c2ebf771274
fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	M60bdaf998926
fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	M49d7f6b304ae
fgsea_msigdb_H_entrez:HALLMARK_SPERMATOGENESIS	Ma71c2c47f665
fgsea_msigdb_H_entrez:HALLMARK_TGF_BETA_SIGNALING	Mcec16d671dc9
fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	M0bd199de3ec6
fgsea_msigdb_H_entrez:HALLMARK_UNFOLDED_PROTEIN_RESPONSE	M8f9219bcf50c
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	M2a8ea2dcf049
fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	M987a0f7f306d
fgsea_msigdb_H_entrez:HALLMARK_WNT_BETA_CATENIN_SIGNALING	M976c4e27c864
fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	M50f4fd236b2c
