module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M009ed0e6e1ee	1	1	3	['4193', '4747', '4744']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION']	4193;4747;4744	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	b2ae4dba69a9	c09476b99bc0	009ed0e6e1ee	0.921875	1	1	term_survival:min
M01c2211b99ba	2	1	2	['2034', '5991']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MATURATION']	2034;5991	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EPITHELIAL_CELL_MATURATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	415202149234	6b052040e6ee	01c2211b99ba	0.96875	1	1	term_survival:min
M028232023f47	3	1	2	['11151', '8447']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_VESICLE_FUSION']	11151;8447	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_VESICLE_FUSION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	e61c5a572d5b	068216e79515	028232023f47	0.859375	1	1	term_survival:min
M046f5416c6e4	4	1	8	['150', '356', '6654', '9001', '10551', '9125', '5329', '8527']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY']	150;356;6654;9001;10551;9125;5329;8527	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_ERBB_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	7e798327af36	1a03ba1725a7	046f5416c6e4	0.953125	1	1	term_survival:min
M0479b803f189	5	1	4	['4216', '2516', '5729', '6736']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_SEX_DETERMINATION']	4216;2516;5729;6736	fgsea_msigdb_C5_GO_BP_entrez:GOBP_SEX_DETERMINATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	a97bac0f9bd8	abe97ab8d8bd	0479b803f189	0.96875	1	1	term_survival:min
M047ac0b6ddf0	6	1	5	['2621', '673', '5054', '2244', '889']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS']	2621;673;5054;2244;889	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	f78b5e294110	2ffcb440ffe7	047ac0b6ddf0	0.984375	1	1	term_survival:min
M05cbd2070a1d	7	1	11	['5914', '5916', '8882', '7133', '11076', '6663', '4898', '6285', '7038', '10810']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MYELINATION']	5914;5916;8882;7133;11076;6663;4898;6285;7038;10810	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_MYELINATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	2f5e32ffdfb0	ca5c1df4be3b	05cbd2070a1d	0.921875	1	1	term_survival:min
M096ef66e8769	8	1	2	['1398', '5291']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION']	1398;5291	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	e89f8135fe9e	9fd713fcc707	096ef66e8769	0.734375	1	1	term_survival:min
M0b67b6b263ce	9	1	2	['7378', '4833']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS']	7378;4833	fgsea_msigdb_C5_GO_BP_entrez:GOBP_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	0dd339cd7a62	845a19b93a44	0b67b6b263ce	0.78125	1	1	term_survival:min
M0c01e4661808	10	1	2	['3762', '6327']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL']	3762;6327	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MEMBRANE_REPOLARIZATION_DURING_ACTION_POTENTIAL	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	bce305b6b967	2c9bf5ae605d	0c01e4661808	0.765625	1	1	term_survival:min
M0cb73ce56b0c	11	2	9	['650', '4204', '476', '10327', '1645', '3291', '1584', '873', '1586']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLUCOCORTICOID_METABOLIC_PROCESS', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS']	650;4204;476;10327;1645;3291;1584;873;1586	fgsea_msigdb_C5_GO_BP_entrez:GOBP_GLUCOCORTICOID_METABOLIC_PROCESS;fgsea_msigdb_C5_GO_BP_entrez:GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	f9d4d0d56d9f	ff308631be70	0cb73ce56b0c	0.984375	2	2	term_survival:min
M0d56df205450	12	1	17	['8678', '3688', '3929', '7369', '4283', '6693', '10288', '3822', '1234', '3823']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_DEFENSE_RESPONSE']	8678;3688;3929;7369;4283;6693;10288;3822;1234;3823	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_DEFENSE_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	cb3f16b6fd48	4a8fb2bec60d	0d56df205450	0.90625	1	1	term_survival:min
M0eaf8dfd5962	13	2	34	['3192', '2303', '6597', '3988', '5925', '6794', '9572', '292', '2034', '2778']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_THERMOGENESIS', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS']	3192;2303;6597;3988;5925;6794;9572;292;2034;2778	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ADAPTIVE_THERMOGENESIS;fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	3903ec2dbf76	ff044c447355	0eaf8dfd5962	0.953125	2	2	term_survival:min
M10cde6930553	14	1	2	['2243', '3589']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS']	2243;3589	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	07b0cc751fd8	fcd462881fce	10cde6930553	1.0	1	1	term_survival:min
M13a35592e025	15	1	2	['8195', '3251']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_SUBPALLIUM_DEVELOPMENT']	8195;3251	fgsea_msigdb_C5_GO_BP_entrez:GOBP_SUBPALLIUM_DEVELOPMENT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	797473015454	823ce37fa29d	13a35592e025	0.78125	1	1	term_survival:min
M1545511f6a30	16	1	5	['16', '2058', '10352', '10667', '5917']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_ACTIVATION']	16;2058;10352;10667;5917	fgsea_msigdb_C5_GO_BP_entrez:GOBP_AMINO_ACID_ACTIVATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	78ff9739d18d	c34ccdf6bd5a	1545511f6a30	1.0	1	1	term_survival:min
M157a3782e8c9	17	1	2	['1839', '8895']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_ERBB2_SIGNALING_PATHWAY']	1839;8895	fgsea_msigdb_C5_GO_BP_entrez:GOBP_ERBB2_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	42c32a41e3c0	a8355e8a8fa0	157a3782e8c9	0.828125	1	1	term_survival:min
M180b922f7665	18	1	8	['2131', '2254', '10818', '9965', '2251', '2259', '10817', '8822']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY']	2131;2254;10818;9965;2251;2259;10817;8822	fgsea_msigdb_C5_GO_BP_entrez:GOBP_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	8cdb20beb924	a1c650f93149	180b922f7665	0.96875	1	1	term_survival:min
M19a16ab75db8	19	1	2	['10919', '10322']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION']	10919;10322	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CONSTITUTIVE_HETEROCHROMATIN_FORMATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	6b042a80dff6	5411cceb97bf	19a16ab75db8	0.84375	1	1	term_survival:min
M1a3ce300126f	20	1	2	['2251', '8538']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_CARTILAGE_CONDENSATION']	2251;8538	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CARTILAGE_CONDENSATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	9c0b81c32c7b	8039cf6315de	1a3ce300126f	0.78125	1	1	term_survival:min
M1b5c52d9a871	21	1	2	['1374', '5826']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT']	1374;5826	fgsea_msigdb_C5_GO_BP_entrez:GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	118	21	a39166c2a88c	c645ff28affb	1b5c52d9a871	0.96875	1	1	term_survival:min
