module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M04c790a221c8	1	2	9	['5315', '2954', '4289', '4750', '5161', '5165', '8050', '10873', '5160']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PYRUVATE_METABOLISM', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM']	5315;2954;4289;4750;5161;5165;8050;10873;5160	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PYRUVATE_METABOLISM;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_PYRUVATE_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	56bdcf886081	f304c7ccc5e3	04c790a221c8	0.9375	2	2	term_survival:min
M0705f9b94dcf	2	1	1	['8312']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN']	8312	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	6dad1504f09b	ad9024097956	0705f9b94dcf	1.0	1	1	term_survival:min
M0cbd6f271961	3	1	3	['2648', '10474', '6871']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES']	2648;10474;6871	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	14df878318d2	e9eb14999e5d	0cbd6f271961	1.0	1	1	term_survival:min
M11bfecf99238	4	1	8	['7295', '272', '10606', '1807', '2618', '5198', '5471', '7084']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_NUCLEOTIDES']	7295;272;10606;1807;2618;5198;5471;7084	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_NUCLEOTIDES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	8f29ad985042	d6271383b018	11bfecf99238	0.953125	1	1	term_survival:min
M14ffaf0066ff	5	1	5	['4143', '1468', '1036', '4357', '6821']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM']	4143;1468;1036;4357;6821	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SULFUR_AMINO_ACID_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	8ce27d5b2c16	defb6ce9b93c	14ffaf0066ff	1.0	1	1	term_survival:min
M19cc2887cbca	6	1	5	['3418', '3421', '3419', '3420', '6392']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE']	3418;3421;3419;3420;6392	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	16904fc6faf6	0c369ebe1acc	19cc2887cbca	0.984375	1	1	term_survival:min
M1e05bb911227	7	1	7	['3661', '2547', '6778', '9208', '6737', '10623', '3428']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA']	3661;2547;6778;9208;6737;10623;3428	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	08e211b8f357	76252166d610	1e05bb911227	0.96875	1	1	term_survival:min
M2eedb8aba4fa	8	2	7	['346', '9619', '337', '213', '336', '345', '4547']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_REMODELING']	346;9619;337;213;336;345;4547	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_REMODELING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	287ab0ed538e	167f25e104de	2eedb8aba4fa	0.78125	2	2	term_survival:min
M353f9b4e7fb1	9	1	2	['5710', '5716']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PROTEASOME_ASSEMBLY']	5710;5716	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PROTEASOME_ASSEMBLY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	1bccea16ed97	ee7345f7c89a	353f9b4e7fb1	0.9375	1	1	term_survival:min
M3677e45409f0	10	1	16	['5329', '1043', '10942', '2822', '4045', '420', '4241', '5279', '5283', '7070']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS']	5329;1043;10942;2822;4045;420;4241;5279;5283;7070	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	67	15	9e53002b5018	75bc4708e457	3677e45409f0	0.9375	1	1	term_survival:min
