module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M004b607552ec	1	1	5	['4893', '6711', '9321', '2804', '2120']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS']	4893;6711;9321;2804;2120	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_FLT3_FUSION_PROTEINS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	06e12b81410d	dee8c69f577a	004b607552ec	1.0	1	1	term_survival:min
M00edb8426586	2	1	14	['1604', '1991', '7448', '930', '1369', '3075', '3078', '3080', '710', '716']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_COMPLEMENT_CASCADE']	1604;1991;7448;930;1369;3075;3078;3080;710;716	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_COMPLEMENT_CASCADE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	a869bc46c84b	1af131badb83	00edb8426586	0.828125	1	1	term_survival:min
M0126be6a6dda	3	1	2	['6500', '8454']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1']	6500;8454	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	7c07905a0318	a4b95dc0823d	0126be6a6dda	0.84375	1	1	term_survival:min
M049d7f539696	4	1	1	['10376']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT']	10376	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	8d0fb7f99eb5	ab5c94024e93	049d7f539696	0.984375	1	1	term_survival:min
M09cc9ba1c495	5	1	2	['3162', '4210']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INFLAMMASOMES']	3162;4210	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INFLAMMASOMES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	685fe08144e1	9646889a5523	09cc9ba1c495	0.78125	1	1	term_survival:min
M0aef97745178	6	1	7	['10673', '8764', '608', '8718', '8741', '8784', '939']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS']	10673;8764;608;8718;8741;8784;939	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	5569eba2830f	4c06a8abaa8e	0aef97745178	0.984375	1	1	term_survival:min
M0e43626f027c	7	1	2	['3636', '3705']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL']	3636;3705	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	d9ea85d09fb4	02c2ce1a4d1e	0e43626f027c	0.90625	1	1	term_survival:min
M1036a15eff6b	8	1	1	['4953']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_POLYAMINES']	4953	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_POLYAMINES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	c2e0a2d716f9	f0b48f80d727	1036a15eff6b	0.90625	1	1	term_survival:min
M12c07ba53994	9	1	3	['3265', '2322', '7750']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FLT3_SIGNALING_IN_DISEASE']	3265;2322;7750	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FLT3_SIGNALING_IN_DISEASE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	ff399fcfb306	8aa98ecbec02	12c07ba53994	0.890625	1	1	term_survival:min
M14155cfa6a76	10	1	2	['6711', '667']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOV_GTPASE_CYCLE']	6711;667	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOV_GTPASE_CYCLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	041baf083490	ce06747ce66f	14155cfa6a76	0.84375	1	1	term_survival:min
M16e2d3f70ffd	11	1	5	['1523', '9827', '4124', '9321', '8675']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRA_GOLGI_TRAFFIC']	1523;9827;4124;9321;8675	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRA_GOLGI_TRAFFIC	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	82	10	fdaa4d00aa45	ef81f8ae4b7a	16e2d3f70ffd	0.984375	1	1	term_survival:min
