module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M002f9593e88c	1	1	8	['8678', '7415', '11337', '5289', '10490', '9140', '10241', '4943']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_AUTOPHAGOSOME_MATURATION']	8678;7415;11337;5289;10490;9140;10241;4943	fgsea_msigdb_C5_GO_BP_entrez:GOBP_AUTOPHAGOSOME_MATURATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	400ed8aa3dbb	376739df4e60	002f9593e88c	0.96875	1	1	term_survival:min
M00cce0efb435	2	3	46	['1020', '11315', '4882', '8013', '2253', '2043', '4915', '5290', '3265', '6348']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEURON_APOPTOTIC_PROCESS', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS']	1020;11315;4882;8013;2253;2043;4915;5290;3265;6348	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEURON_APOPTOTIC_PROCESS;fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS;fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	9fae76dab601	470883087d20	00cce0efb435	0.9375	3	3	term_survival:min
M01bdaeec9f1e	3	1	4	['654', '4092', '10211', '4855']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN']	654;4092;10211;4855	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_CELL_CELL_ADHESION_MEDIATED_BY_CADHERIN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	8bc5270146f4	a05026f91181	01bdaeec9f1e	0.953125	1	1	term_survival:min
M01c47e834f97	4	1	4	['6375', '7292', '969', '868']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION']	6375;7292;969;868	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	9e54878c9c1f	a2937fdbbe2c	01c47e834f97	0.96875	1	1	term_survival:min
M01d5fe3dcb01	5	1	7	['540', '9140', '4946', '5045', '6741', '5094', '7812']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION']	540;9140;4946;5045;6741;5094;7812	fgsea_msigdb_C5_GO_BP_entrez:GOBP_VIRAL_TRANSLATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	828d4cada044	55ac7bc26f23	01d5fe3dcb01	0.96875	1	1	term_survival:min
M01e3aeeda552	6	1	4	['5649', '10458', '8322', '3706']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS']	5649;10458;8322;3706	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_CELL_MORPHOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	6dd6cb785027	44a610bc84eb	01e3aeeda552	0.953125	1	1	term_survival:min
M01ec2837fe8b	7	1	6	['5578', '5443', '10399', '5140', '10846', '333']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY']	5578;5443;10399;5140;10846;333	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	d9effe9075ea	f5c186c439cf	01ec2837fe8b	0.90625	1	1	term_survival:min
M020dd9ec11c7	8	1	3	['367', '2074', '10621']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III']	367;2074;10621	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	2ef499758689	615d5db7a14b	020dd9ec11c7	1.0	1	1	term_survival:min
M02bce2694b29	9	1	4	['7291', '6909', '1409', '2295']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS']	7291;6909;1409;2295	fgsea_msigdb_C5_GO_BP_entrez:GOBP_EMBRYONIC_CAMERA_TYPE_EYE_MORPHOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	7ab3b8db4a56	760a2d2d1e73	02bce2694b29	1.0	1	1	term_survival:min
M02f44a48f1be	10	1	9	['3569', '4130', '8314', '1182', '523', '9114', '1268', '534', '10989']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEURON_CELLULAR_HOMEOSTASIS']	3569;4130;8314;1182;523;9114;1268;534;10989	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NEURON_CELLULAR_HOMEOSTASIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	5	0.14	138	20	8f86b5d32929	2059494f8bbf	02f44a48f1be	0.859375	1	1	term_survival:min
