module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M026f006274e5	1	1	1	['4194']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_STABILIZATION_OF_P53']	4194	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_STABILIZATION_OF_P53	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	278aa3b3435e	c43804ea600a	026f006274e5	0.90625	1	1	term_survival:min
M0705f9b94dcf	2	1	1	['8312']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN']	8312	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_AXIN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	6dad1504f09b	ad9024097956	0705f9b94dcf	0.859375	1	1	term_survival:min
M09d2544a9ea7	3	3	8	['3818', '708', '5196', '710', '462', '5197', '2149', '7035']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION']	3818;708;5196;710;462;5197;2149;7035	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	99f7916e8b50	8fe0f8cbfd8d	09d2544a9ea7	0.890625	3	3	term_survival:min
M0f76c07db93c	4	1	16	['9037', '11093', '7057', '10417', '9507', '10418', '11095', '11096', '11173', '11174']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS']	9037;11093;7057;10417;9507;10418;11095;11096;11173;11174	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	ffc54586950f	242df516e7e4	0f76c07db93c	0.953125	1	1	term_survival:min
M1e8f47cfdfc7	5	1	2	['9978', '8945']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME']	9978;8945	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	66efc77b1d7c	c6b263fa704c	1e8f47cfdfc7	0.953125	1	1	term_survival:min
M1faf37b047ae	6	1	3	['929', '8772', '356']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY']	929;8772;356	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	758a54215dfa	ab937a549a39	1faf37b047ae	0.96875	1	1	term_survival:min
M200c05e49e9c	7	1	2	['10197', '8624']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PROTEASOME_ASSEMBLY']	10197;8624	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PROTEASOME_ASSEMBLY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	1bccea16ed97	330808f08d60	200c05e49e9c	0.953125	1	1	term_survival:min
M250f37683697	8	1	4	['3265', '5062', '3385', '5971']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CD209_DC_SIGN_SIGNALING']	3265;5062;3385;5971	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CD209_DC_SIGN_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	defa4dc6d2a0	48d38eb7643a	250f37683697	0.96875	1	1	term_survival:min
M2b65badda99c	9	1	3	['4297', '406', '1407']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PHOSPHORYLATED_BMAL1_CLOCK_ARNTL_CLOCK_ACTIVATES_EXPRESSION_OF_CORE_CLOCK_GENES']	4297;406;1407	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PHOSPHORYLATED_BMAL1_CLOCK_ARNTL_CLOCK_ACTIVATES_EXPRESSION_OF_CORE_CLOCK_GENES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	8a2f6f12bea2	5a6d0ec3b0c9	2b65badda99c	0.96875	1	1	term_survival:min
M2f296924f80f	10	2	8	['6667', '4088', '6938', '5663', '7076', '6929', '3624', '7048']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_TGFBR3', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGFBR3_EXPRESSION']	6667;4088;6938;5663;7076;6929;3624;7048	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_TGFBR3;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TGFBR3_EXPRESSION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	63	14	192bd7b87019	0323c4b4c748	2f296924f80f	0.90625	2	2	term_survival:min
