module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M04d093193c05	1	3	112	['3251', '4869', '5111', '9221', '1019', '10549', '1965', '5036', '7037', '9136']	['fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2']	3251;4869;5111;9221;1019;10549;1965;5036;7037;9136	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	a5ef9d5bd3db	96939f52d71f	04d093193c05	0.890625	3	3	term_survival:min
M1b5332fdef19	2	1	15	['3638', '1718', '11047', '2181', '2773', '3977', '6611', '6652', '87', '10513']	['fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE']	3638;1718;11047;2181;2773;3977;6611;6652;87;10513	fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	96be8d1cf85d	407f516977b3	1b5332fdef19	0.953125	1	1	term_survival:min
M1ce34269c5c6	3	1	58	['3932', '4869', '3574', '3606', '8767', '3460', '3565', '3586', '3594', '602']	['fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION']	3932;4869;3574;3606;8767;3460;3565;3586;3594;602	fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	f050f853746a	948bdcfd18f1	1ce34269c5c6	0.984375	1	1	term_survival:min
M1cfdfe9fc0ab	4	1	17	['8082', '5066', '667', '102', '10282', '10959', '1203', '372', '375', '525']	['fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION']	8082;5066;667;102;10282;10959;1203;372;375;525	fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	4f8f2ba5258e	1d6fcdcb45a3	1cfdfe9fc0ab	0.953125	1	1	term_survival:min
M20c59658653c	5	1	4	['10549', '5052', '7001', '4046']	['fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY']	10549;5052;7001;4046	fgsea_msigdb_H_entrez:HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	e51530c84b6e	dc655b0f95ac	20c59658653c	1.0	1	1	term_survival:min
M21596e51c7a6	6	1	21	['5045', '5243', '10439', '2052', '7037', '1036', '1267', '2354', '3192', '3485']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP']	5045;5243;10439;2052;7037;1036;1267;2354;3192;3485	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	b9c684f80797	c9d19030f3a3	21596e51c7a6	0.9375	1	1	term_survival:min
M27ccc1097fef	7	1	10	['3574', '8767', '10379', '10964', '1267', '1997', '5696', '2766', '3107', '3437']	['fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE']	3574;8767;10379;10964;1267;1997;5696;2766;3107;3437	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	1297ba2d030b	60dc1ee60cdc	27ccc1097fef	0.875	1	1	term_survival:min
M2a7704dd8950	8	2	45	['3932', '5045', '629', '11098', '11202', '1191', '1848', '2159', '462', '8942']	['fgsea_msigdb_H_entrez:HALLMARK_COAGULATION', 'fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT']	3932;5045;629;11098;11202;1191;1848;2159;462;8942	fgsea_msigdb_H_entrez:HALLMARK_COAGULATION;fgsea_msigdb_H_entrez:HALLMARK_COMPLEMENT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	b33f56735886	a0761e958be8	2a7704dd8950	0.890625	2	2	term_survival:min
M2e562fe135a0	9	1	36	['3251', '5111', '100', '10063', '10134', '10714', '11051', '203', '2073', '5429']	['fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR']	3251;5111;100;10063;10134;10714;11051;203;2073;5429	fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	ae7f9f42f1d6	81e3051b1ef4	2e562fe135a0	0.96875	1	1	term_survival:min
M329f74fd5fb3	10	2	28	['1437', '1839', '3574', '3606', '8767', '8942', '10379', '1316', '2354', '2921']	['fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB']	1437;1839;3574;3606;8767;8942;10379;1316;2354;2921	fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_TNFA_SIGNALING_VIA_NFKB	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	1731420a4c77	791664336b4c	329f74fd5fb3	0.90625	2	2	term_survival:min
