module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M0505f79bb7b2	1	1	44	['5347', '2934', '10565', '3799', '4643', '4751', '6709', '10013', '10018', '10276']	['fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE']	5347;2934;10565;3799;4643;4751;6709;10013;10018;10276	fgsea_msigdb_H_entrez:HALLMARK_MITOTIC_SPINDLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	03d5f6d60433	4c9c61e1fd4f	0505f79bb7b2	0.953125	1	1	term_survival:min
M06700ee66336	2	1	49	['1432', '3265', '4627', '7082', '8503', '9672', '1004', '1956', '2200', '2770']	['fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION']	1432;3265;4627;7082;8503;9672;1004;1956;2200;2770	fgsea_msigdb_H_entrez:HALLMARK_APICAL_JUNCTION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	a0d788ededd9	90beeb3ee446	06700ee66336	0.984375	1	1	term_survival:min
M0d844240ef57	3	1	27	['10565', '10040', '10282', '11311', '11316', '1175', '1182', '1211', '1315', '2581']	['fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION']	10565;10040;10282;11311;11316;1175;1182;1211;1315;2581	fgsea_msigdb_H_entrez:HALLMARK_PROTEIN_SECRETION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	4f8f2ba5258e	ca5a6147d566	0d844240ef57	0.953125	1	1	term_survival:min
M225a5534e729	4	1	24	['10611', '4088', '120', '1432', '1843', '4233', '490', '7082', '8503', '3480']	['fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN']	10611;4088;120;1432;1843;4233;490;7082;8503;3480	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	961a192f637b	34f2de9eba21	225a5534e729	0.984375	1	1	term_survival:min
M26257ec106b7	5	1	8	['4023', '6696', '2260', '350', '3764', '5553', '6578', '8993']	['fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS']	4023;6696;2260;350;3764;5553;6578;8993	fgsea_msigdb_H_entrez:HALLMARK_ANGIOGENESIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	2c1bf7796dc4	2a51ccb411e0	26257ec106b7	0.953125	1	1	term_survival:min
M2af838d2647b	6	1	53	['3593', '9435', '1952', '1271', '1907', '2811', '3860', '70', '8303', '9073']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN']	3593;9435;1952;1271;1907;2811;3860;70;8303;9073	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	d37c76b914b9	3774d7244047	2af838d2647b	1.0	1	1	term_survival:min
M2cb655dfd20e	7	4	92	['4173', '4860', '5347', '2232', '3313', '3417', '3475', '4048', '4171', '4869']	['fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS', 'fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1', 'fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2']	4173;4860;5347;2232;3313;3417;3475;4048;4171;4869	fgsea_msigdb_H_entrez:HALLMARK_E2F_TARGETS;fgsea_msigdb_H_entrez:HALLMARK_MTORC1_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V1;fgsea_msigdb_H_entrez:HALLMARK_MYC_TARGETS_V2	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	f8435b0ac65c	2dcd0c80fa3d	2cb655dfd20e	0.9375	4	4	term_survival:min
M2d440478988d	8	1	16	['1803', '10590', '1113', '2308', '2641', '2645', '3630', '3651', '3670', '4821']	['fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS']	1803;10590;1113;2308;2641;2645;3630;3651;3670;4821	fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	4c35b106caca	66c85fbd94de	2d440478988d	0.9375	1	1	term_survival:min
M2d8de5a49709	9	1	16	['10611', '11057', '1718', '207', '3880', '10397', '2773', '567', '6197', '9455']	['fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE']	10611;11057;1718;207;3880;10397;2773;567;6197;9455	fgsea_msigdb_H_entrez:HALLMARK_ANDROGEN_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	96be8d1cf85d	8797c612b52d	2d8de5a49709	0.953125	1	1	term_survival:min
M3f9149a243e6	10	1	52	['645', '760', '210', '4259', '5909', '6513', '7001', '7150', '7351', '8974']	['fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM']	645;760;210;4259;5909;6513;7001;7150;7351;8974	fgsea_msigdb_H_entrez:HALLMARK_HEME_METABOLISM	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	bd368acaecf8	55466e73ca32	3f9149a243e6	1.0	1	1	term_survival:min
M41ec2a9fae27	11	4	99	['3566', '3569', '4860', '5292', '629', '650', '8651', '894', '10410', '3162']	['fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING', 'fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE', 'fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE']	3566;3569;4860;5292;629;650;8651;894;10410;3162	fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_IL6_JAK_STAT3_SIGNALING;fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_ALPHA_RESPONSE;fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	82422ba3d9e0	4fd16608dd70	41ec2a9fae27	0.890625	4	4	term_survival:min
M48581aed16f9	12	1	33	['4851', '650', '8651', '894', '1012', '203', '2232', '3162', '467', '6004']	['fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY']	4851;650;8651;894;1012;203;2232;3162;467;6004	fgsea_msigdb_H_entrez:HALLMARK_P53_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	d89dadd0d382	27c0b8931f3b	48581aed16f9	1.0	1	1	term_survival:min
M4c5d6a79eeb7	13	1	15	['4023', '2770', '4597', '6713', '71', '928', '214', '2946', '308', '3958']	['fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS']	4023;2770;4597;6713;71;928;214;2946;308;3958	fgsea_msigdb_H_entrez:HALLMARK_CHOLESTEROL_HOMEOSTASIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	a59af8d27fcb	4bdb78063a80	4c5d6a79eeb7	0.921875	1	1	term_survival:min
M4e6cb3239162	14	1	27	['4860', '203', '100', '5424', '5435', '5437', '5983', '7298', '7508', '9978']	['fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR']	4860;203;100;5424;5435;5437;5983;7298;7508;9978	fgsea_msigdb_H_entrez:HALLMARK_DNA_REPAIR	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	ae7f9f42f1d6	8a5ccb89ce75	4e6cb3239162	0.953125	1	1	term_survival:min
M583eecef9774	15	1	40	['629', '650', '894', '3394', '6004', '1240', '1520', '2012', '3561', '3673']	['fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP']	629;650;894;3394;6004;1240;1520;2012;3561;3673	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	e2a24c6bd69a	26d66f8dcd43	583eecef9774	1.0	1	1	term_survival:min
M685add1cdf57	16	1	47	['1647', '3624', '3725', '960', '1289', '2817', '633', '7128', '1004', '1282']	['fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION']	1647;3624;3725;960;1289;2817;633;7128;1004;1282	fgsea_msigdb_H_entrez:HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	7bc56f858bc7	b8a63f9f24d3	685add1cdf57	1.0	1	1	term_survival:min
M6b0391976204	17	2	47	['226', '6648', '7153', '760', '1718', '3265', '10455', '1056', '126', '2027']	['fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM', 'fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME']	226;6648;7153;760;1718;3265;10455;1056;126;2027	fgsea_msigdb_H_entrez:HALLMARK_FATTY_ACID_METABOLISM;fgsea_msigdb_H_entrez:HALLMARK_PEROXISOME	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	2a3bc53a0fee	fcaba5ee626b	6b0391976204	0.90625	2	2	term_survival:min
M70c1417a3b4b	18	1	36	['207', '3265', '356', '8503', '8878', '1019', '1649', '1956', '5499', '5579']	['fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING']	207;3265;356;8503;8878;1019;1649;1956;5499;5579	fgsea_msigdb_H_entrez:HALLMARK_PI3K_AKT_MTOR_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	4	6	0c5a0e9ee369	0dda949d67fb	70c1417a3b4b	0.953125	1	1	term_survival:min
