module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M026f006274e5	1	1	1	['4194']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_STABILIZATION_OF_P53']	4194	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_STABILIZATION_OF_P53	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	278aa3b3435e	c43804ea600a	026f006274e5	0.9375	1	1	term_survival:min
M03754a78890b	2	1	1	['6249']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS']	6249	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	5437ef48e36c	335a0d3403d5	03754a78890b	1.0	1	1	term_survival:min
M0a35db70ea34	3	1	3	['545', '2067', '9937']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FANCONI_ANEMIA_PATHWAY']	545;2067;9937	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FANCONI_ANEMIA_PATHWAY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	3a513a7d9211	abc5c960cb3d	0a35db70ea34	0.90625	1	1	term_survival:min
M0c3ed8c59652	4	1	3	['7514', '4088', '5501']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING']	7514;4088;5501	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	6316ace8a1d4	63d6d48e5263	0c3ed8c59652	0.96875	1	1	term_survival:min
M1440cda89d30	5	1	1	['8065']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G']	8065	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	304e3c5ed91b	f7abacc7cbca	1440cda89d30	0.9375	1	1	term_survival:min
M149e340d9f29	6	1	2	['10226', '6035']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY']	10226;6035	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	8db6ff8c7be7	788ca509a3aa	149e340d9f29	0.953125	1	1	term_survival:min
M1a41656fd0a5	7	2	6	['10632', '4508', '4509', '498', '539', '9551']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CRISTAE_FORMATION', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING']	10632;4508;4509;498;539;9551	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CRISTAE_FORMATION;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	8fbe4853b301	59800733b21f	1a41656fd0a5	0.890625	2	2	term_survival:min
M1dd36c1ee758	8	1	2	['983', '2099']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES']	983;2099	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	062f28d2f810	f222b2493cf7	1dd36c1ee758	0.96875	1	1	term_survival:min
M23cf9683e0e2	9	1	1	['5529']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE']	5529	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	39f1975539e9	1d83fef6f951	23cf9683e0e2	1.0	1	1	term_survival:min
M257b4b3aa1eb	10	1	1	['7324']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6']	7324	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	2	0.02	71	15	ea36c34a3029	11c74eb793a0	257b4b3aa1eb	0.96875	1	1	term_survival:min
