module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M0077e559026f	1	1	11	['8678', '3297', '1654', '4076', '1656', '7072', '9908', '4137', '1965', '6228']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_STRESS_GRANULE_ASSEMBLY']	8678;3297;1654;4076;1656;7072;9908;4137;1965;6228	fgsea_msigdb_C5_GO_BP_entrez:GOBP_STRESS_GRANULE_ASSEMBLY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	50ee7f8ca080	91dc6160c6df	0077e559026f	0.9375	1	1	term_survival:min
M01862d989568	2	1	6	['6505', '1392', '2946', '845', '9400', '7052']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ALKALOID']	6505;1392;2946;845;9400;7052	fgsea_msigdb_C5_GO_BP_entrez:GOBP_CELLULAR_RESPONSE_TO_ALKALOID	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	641b4e228706	f737d4ee026e	01862d989568	0.890625	1	1	term_survival:min
M01b5351f7db7	3	1	2	['8862', '153']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEAT_GENERATION']	8862;153	fgsea_msigdb_C5_GO_BP_entrez:GOBP_HEAT_GENERATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	c44ab956ac3d	913dd1dd65d5	01b5351f7db7	0.984375	1	1	term_survival:min
M0233bde8b41d	4	2	3	['1908', '1761', '685']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION']	1908;1761;685	fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION;fgsea_msigdb_C5_GO_BP_entrez:GOBP_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	7aa41ab6719b	671681cd6459	0233bde8b41d	0.96875	2	2	term_survival:min
M0234bea07ca0	5	1	6	['2475', '10623', '4665', '8178', '7629', '7702']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III']	2475;10623;4665;8178;7629;7702	fgsea_msigdb_C5_GO_BP_entrez:GOBP_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_III	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	2ef499758689	1121c2e9730c	0234bea07ca0	0.859375	1	1	term_survival:min
M02d153a19ae8	6	1	2	['4057', '6261']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_BONE_MATURATION']	4057;6261	fgsea_msigdb_C5_GO_BP_entrez:GOBP_BONE_MATURATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	7841c1ca0be7	9f548f939c03	02d153a19ae8	0.96875	1	1	term_survival:min
M02deb1954d48	7	1	6	['1525', '5068', '869', '214', '5817', '6402']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES']	1525;5068;869;214;5817;6402	fgsea_msigdb_C5_GO_BP_entrez:GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	9a1ea68bfe4e	36c8da043b07	02deb1954d48	0.8125	1	1	term_survival:min
M05701e323aea	8	1	2	['6208', '11157']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATURATION_OF_SSU_RRNA']	6208;11157	fgsea_msigdb_C5_GO_BP_entrez:GOBP_MATURATION_OF_SSU_RRNA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	25033a3f1752	7ee406133004	05701e323aea	0.796875	1	1	term_survival:min
M0605c47acabd	9	1	8	['585', '8195', '2535', '10678', '1258', '9038', '4995', '8386']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_SENSORY_PERCEPTION_OF_SMELL']	585;8195;2535;10678;1258;9038;4995;8386	fgsea_msigdb_C5_GO_BP_entrez:GOBP_SENSORY_PERCEPTION_OF_SMELL	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	bef70ebe3703	3c34976e57e6	0605c47acabd	0.96875	1	1	term_survival:min
M087aa382a515	10	2	10	['4245', '7264', '6675', '3098', '10559', '2762', '8790', '2987', '9945', '7360']	['fgsea_msigdb_C5_GO_BP_entrez:GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS', 'fgsea_msigdb_C5_GO_BP_entrez:GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS']	4245;7264;6675;3098;10559;2762;8790;2987;9945;7360	fgsea_msigdb_C5_GO_BP_entrez:GOBP_NUCLEOTIDE_SUGAR_BIOSYNTHETIC_PROCESS;fgsea_msigdb_C5_GO_BP_entrez:GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.1	162	22	efa8e183fdb2	7e7dda7e4465	087aa382a515	0.96875	2	2	term_survival:min
