raw_index	term_id	term_name	source	stat	qval	direction	evidence_genes	pval	is_summary	group_id	term_id_salvaged	term_name_salvaged	evidence_genes_str	is_valid	invalid_reason	qval_source	qval_provided	pval_source	pval_provided	distill_seed	evidence_genes_was_list	n_evidence_genes	masked_genes_count	dropped_n	dropped_genes_str	dropped_genes_symbols_str	notes	term_row_id	term_uid	distill_semantics	distill_track_hash_drift	distill_gene_pool_n	distill_gene_pool_is_masked	distill_trust_input_survival	distill_min_genes_effective_per_term	term_survival_input	term_survival_computed	term_survival_n_ok	term_survival_n_total	term_survival_source	term_survival	term_gene_set_hash	term_survival_agg	term_hash_drift_rate	distill_loo_is_proxy	distill_n_perturb	distill_gene_dropout_p	distill_gene_jitter_p	distill_evidence_jaccard_min	distill_evidence_recall_min	distill_evidence_precision_min	distill_min_keep_frac	distill_min_evidence_genes_effective	distill_perturb_rescue	term_survival_mean_jaccard	term_survival_mean_recall	term_survival_mean_precision	gene_survival	keep_term	keep_reason	distill_pre_gate_mode	distill_pre_gate_tau	module_id	module_id_missing	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
0	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	fgsea_msigdb_H_entrez	1.72638561588898	0.0030724570408978	up	['639', '6590', '1794', '6696', '101', '2115', '220', '6662', '1839', '9734', '3689', '8829', '3936', '1520', '3976', '3075', '5593', '2069', '5936', '3080', '4214', '2556', '5649', '7185', '5328', '4013', '5327', '3486', '5696', '3561', '9053', '9971', '719', '9949', '4803', '894', '3553', '1240', '5743', '5950', '11179', '2591', '1848', '2113', '12', '669', '5396', '5121', '8404', '7476', '6004', '10457', '2995']		False		False	False	639;6590;1794;6696;101;2115;220;6662;1839;9734;3689;8829;3936;1520;3976;3075;5593;2069;5936;3080;4214;2556;5649;7185;5328;4013;5327;3486;5696;3561;9053;9971;719;9949;4803;894;3553;1240;5743;5950;11179;2591;1848;2113;12;669;5396;5121;8404;7476;6004;10457;2995	True		qval	True	missing	False	42	True	53	0	0				0	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_UP	evidence_perturb	True	1000	True	False	1		1.0	64	64	computed	1.0	1cdc956f599e	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8568638392857142	0.9053655660377359	0.9410960518770666	1.0	True	ok	off		M6fc4ea7897cc	False	1.0	1	1	term_survival:min
1	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	fgsea_msigdb_H_entrez	1.3568547099649	0.6977911826207	up	['1634', '3423', '10397', '2908', '8991', '6576', '5260', '5317', '6095', '771', '5155', '5837', '2027', '901', '2542', '10994', '3569', '229', '7052', '4627', '4214', '1289', '6383', '10957', '8987', '3484', '3486', '7538', '6518', '8974', '5292', '6513', '2026', '2113', '8819', '3162', '2131', '5165', '8459', '1356', '839', '5507']		False		False	False	1634;3423;10397;2908;8991;6576;5260;5317;6095;771;5155;5837;2027;901;2542;10994;3569;229;7052;4627;4214;1289;6383;10957;8987;3484;3486;7538;6518;8974;5292;6513;2026;2113;8819;3162;2131;5165;8459;1356;839;5507	True		qval	True	missing	False	42	True	43	1	1	3309	HSPA5		1	fgsea_msigdb_H_entrez:HALLMARK_HYPOXIA	evidence_perturb	True	1000	True	False	1		0.90625	58	64	computed	0.90625	0352543d3d0e	0.90625	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8618607954545455	0.9029017857142858	0.949741056645479	0.90625	True	ok	off		Mb5af3fcb4cdb	False	0.90625	2	2	term_survival:min
2	HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	fgsea_msigdb_H_entrez	1.45048486122133	0.731605351170569	up	['672', '1946', '3560', '3561', '4067', '5205', '9696', '7070', '5329', '6517', '357', '11126', '2683']		False		False	False	672;1946;3560;3561;4067;5205;9696;7070;5329;6517;357;11126;2683	True		qval	True	missing	False	42	True	13	0	0				2	fgsea_msigdb_H_entrez:HALLMARK_APICAL_SURFACE	evidence_perturb	True	1000	True	False	1		0.921875	59	64	computed	0.921875	48e95fe5186b	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8348214285714284	0.8990384615384615	0.9208395770895772	0.921875	True	ok	off		M6416be70a11b	False	0.921875	1	1	term_survival:min
3	HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	fgsea_msigdb_H_entrez	1.26090158958705	0.731605351170569	up	['10611', '8503', '2908', '5195', '11044', '4088', '5581', '5468', '3488', '8829', '7410', '5797', '3382', '6591', '5999', '6383', '3667', '7048', '3638', '11343', '92', '7049', '3778', '3480', '10240', '2534', '490', '2869', '6717', '7799', '5293', '4790', '1278']		False		False	False	10611;8503;2908;5195;11044;4088;5581;5468;3488;8829;7410;5797;3382;6591;5999;6383;3667;7048;3638;11343;92;7049;3778;3480;10240;2534;490;2869;6717;7799;5293;4790;1278	True		qval	True	missing	False	42	True	33	0	0				3	fgsea_msigdb_H_entrez:HALLMARK_UV_RESPONSE_DN	evidence_perturb	True	1000	True	False	1		0.921875	59	64	computed	0.921875	4782b1e3975c	0.921875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.844642857142857	0.8958333333333334	0.9363873716893234	0.921875	True	ok	off		Md5048af00206	False	0.921875	1	1	term_survival:min
4	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	fgsea_msigdb_H_entrez	1.24000878698109	0.731605351170569	up	['5063', '5126', '5078', '1113', '3375', '1641', '4005', '5122', '2641', '4821']		False		False	False	5063;5126;5078;1113;3375;1641;4005;5122;2641;4821	True		qval	True	missing	False	42	True	10	0	0				4	fgsea_msigdb_H_entrez:HALLMARK_PANCREAS_BETA_CELLS	evidence_perturb	True	1000	True	False	1		1.0	64	64	computed	1.0	6eb63ed41519	1.0	0.609375	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.9125	0.9125	1.0	1.0	True	ok	off		M639b61310d65	False	1.0	1	1	term_survival:min
5	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	fgsea_msigdb_H_entrez	1.22250532371181	0.731605351170569	up	['3955', '70', '10686', '5078', '5317', '6620', '152', '10991', '5071', '1237', '3780', '2895', '4439', '3485', '7038', '6474', '5158', '6663', '6712', '1271', '9328', '2649', '3750', '4599', '10777', '10753', '5409', '9073', '4908', '3291', '5164', '3860', '4210', '3567', '10964', '10734', '4524', '7704', '727', '7137', '3593', '4929']		False		False	False	3955;70;10686;5078;5317;6620;152;10991;5071;1237;3780;2895;4439;3485;7038;6474;5158;6663;6712;1271;9328;2649;3750;4599;10777;10753;5409;9073;4908;3291;5164;3860;4210;3567;10964;10734;4524;7704;727;7137;3593;4929	True		qval	True	missing	False	42	True	42	0	0				5	fgsea_msigdb_H_entrez:HALLMARK_KRAS_SIGNALING_DN	evidence_perturb	True	1000	True	False	1		1.0	64	64	computed	1.0	357b568d1362	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8661221590909092	0.9073660714285715	0.9500399190087119	1.0	True	ok	off		M87b5996c76c9	False	1.0	1	1	term_survival:min
6	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	fgsea_msigdb_H_entrez	1.21656231281706	0.731605351170569	up	['10397', '5325', '6696', '8651', '6095', '333', '3482', '2027', '825', '8829', '5359', '2983', '3976', '5167', '7052', '3560', '10075', '7185', '4050', '4860', '8611', '5292', '898', '3480', '5621', '894', '5269', '8728', '5732', '6004', '4641', '8477', '3459', '5583', '3566', '3559', '1291', '1154', '8743', '8530', '8202', '5033']		False		False	False	10397;5325;6696;8651;6095;333;3482;2027;825;8829;5359;2983;3976;5167;7052;3560;10075;7185;4050;4860;8611;5292;898;3480;5621;894;5269;8728;5732;6004;4641;8477;3459;5583;3566;3559;1291;1154;8743;8530;8202;5033	True		qval	True	missing	False	42	True	42	0	0				6	fgsea_msigdb_H_entrez:HALLMARK_IL2_STAT5_SIGNALING	evidence_perturb	True	1000	True	False	1		1.0	64	64	computed	1.0	6f06a9ef7942	1.0	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.85546875	0.8962053571428572	0.9494438635281472	1.0	True	ok	off		M8fdbd2339311	False	0.9375	6	6	term_survival:min
7	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	fgsea_msigdb_H_entrez	1.21642282935854	0.731605351170569	up	['4600', '3108', '3091', '5720', '8651', '10616', '8767', '5359', '7130', '3075', '9934', '3569', '710', '4061', '3560', '9021', '4860', '5696', '5292', '972', '5698', '1240', '5743', '3937', '4599', '103', '4939', '6717', '669', '4790', '8082', '5683', '7706', '5770', '3601', '6375', '3566', '3574', '8743', '4261', '10964', '8202', '958', '6648', '9830', '840', '10581', '694', '8737', '8673']		False		False	False	4600;3108;3091;5720;8651;10616;8767;5359;7130;3075;9934;3569;710;4061;3560;9021;4860;5696;5292;972;5698;1240;5743;3937;4599;103;4939;6717;669;4790;8082;5683;7706;5770;3601;6375;3566;3574;8743;4261;10964;8202;958;6648;9830;840;10581;694;8737;8673	True		qval	True	missing	False	42	True	52	2	2	3106;3135	HLA-B;HLA-G		7	fgsea_msigdb_H_entrez:HALLMARK_INTERFERON_GAMMA_RESPONSE	evidence_perturb	True	1000	True	False	1		0.984375	63	64	computed	0.984375	19beeb384cd3	0.984375	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8611778846153846	0.895625	0.9571608844853817	0.984375	True	ok	off		M8fdbd2339311	False	0.9375	6	6	term_survival:min
8	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	fgsea_msigdb_H_entrez	-1.20376419437533	0.731605351170569	down	['3479', '1244', '4836', '1969', '348', '1593', '8309', '866', '10653', '6580', '847', '384', '217', '3931', '2203', '53', '9054', '225', '5909', '5967', '6560', '4153', '3290', '7274', '5627', '8876', '211', '5730', '2729', '128', '10728', '2937', '5467', '7042', '6510', '1312', '5831', '9663', '4128', '5372', '4121', '218', '586', '10717', '2052', '2168', '2160', '6898', '3172', '3398', '5805', '3728', '1543']		False		False	False	3479;1244;4836;1969;348;1593;8309;866;10653;6580;847;384;217;3931;2203;53;9054;225;5909;5967;6560;4153;3290;7274;5627;8876;211;5730;2729;128;10728;2937;5467;7042;6510;1312;5831;9663;4128;5372;4121;218;586;10717;2052;2168;2160;6898;3172;3398;5805;3728;1543	True		qval	True	missing	False	42	True	53	0	0				8	fgsea_msigdb_H_entrez:HALLMARK_XENOBIOTIC_METABOLISM	evidence_perturb	True	1000	True	False	1		0.96875	62	64	computed	0.96875	01e9329cc127	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8507254464285714	0.8988797169811321	0.9406710594338954	0.96875	True	ok	off		Mc243e45f9fe0	False	0.96875	1	1	term_survival:min
9	HALLMARK_COAGULATION	HALLMARK_COAGULATION	fgsea_msigdb_H_entrez	1.17681892145098	0.731605351170569	up	['2165', '1515', '1638', '3697', '6678', '5155', '2147', '9948', '2783', '10747', '3075', '7057', '2161', '1397', '710', '824', '5328', '5327', '1465', '11098', '2158', '2534', '842', '10404', '1848', '1519', '8754', '5550', '3920']		False		False	False	2165;1515;1638;3697;6678;5155;2147;9948;2783;10747;3075;7057;2161;1397;710;824;5328;5327;1465;11098;2158;2534;842;10404;1848;1519;8754;5550;3920	True		qval	True	missing	False	42	True	29	0	0				9	fgsea_msigdb_H_entrez:HALLMARK_COAGULATION	evidence_perturb	True	1000	True	False	1		0.96875	62	64	computed	0.96875	8bd754b09c84	0.96875	1.0	False	64	0.1	0.05	0.6	0.8	0.8	0.0		False	0.8697916666666667	0.8997844827586207	0.9629816592104589	0.96875	True	ok	off		M3c49519fd455	False	0.96875	2	2	term_survival:min
