module_id	module_rank	n_terms	n_genes	rep_gene_ids	term_ids	rep_gene_ids_str	term_ids_str	module_method	module_requested_method	module_effective_method	module_min_shared_genes	module_jaccard_min	hub_filter_max_gene_term_degree	hub_filter_n_hubs	module_terms_hash12	module_genes_hash12	module_content_hash12	module_survival	module_survival_n_ok	module_survival_n_total	module_survival_source
M0090af4a9202	1	1	3	['5906', '10125', '5592']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RAP1_SIGNALLING']	5906;10125;5592	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RAP1_SIGNALLING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	7e0f20447ea3	de5fb67716ee	0090af4a9202	0.96875	1	1	term_survival:min
M00d21c907c4d	2	1	2	['10000', '2784']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA']	10000;2784	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	a85d9cc7f44f	05cfb5f1c6a8	00d21c907c4d	0.78125	1	1	term_survival:min
M02a9340daa2e	3	1	5	['10376', '3932', '1445', '2040', '399']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOH_GTPASE_CYCLE']	10376;3932;1445;2040;399	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RHOH_GTPASE_CYCLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	92413ddea80d	8ceee9f92616	02a9340daa2e	0.984375	1	1	term_survival:min
M05fd4ef08742	4	1	1	['10550']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE']	10550	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	91fa8d423557	06d3e145d4ac	05fd4ef08742	1.0	1	1	term_survival:min
M080dd6b838f2	5	1	1	['5143']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DARPP_32_EVENTS']	5143	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DARPP_32_EVENTS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	4291a0ca3c71	2a14e0e74f5b	080dd6b838f2	1.0	1	1	term_survival:min
M09333d5044e5	6	1	3	['6714', '639', '4613']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ALK']	6714;639;4613	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_ALK	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	e5eea877c355	311bf5aec5bc	09333d5044e5	0.953125	1	1	term_survival:min
M0b6beef4d47d	7	1	1	['7844']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CALNEXIN_CALRETICULIN_CYCLE']	7844	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CALNEXIN_CALRETICULIN_CYCLE	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	8230497a42e5	b513a7ff5978	0b6beef4d47d	0.921875	1	1	term_survival:min
M0c87e46fd391	8	1	3	['8065', '8651', '1441']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING']	8065;8651;1441	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	784ba8ca729f	4f82be78b379	0c87e46fd391	0.921875	1	1	term_survival:min
M0cb3d49740ae	9	1	2	['2814', '3818']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DISEASES_OF_HEMOSTASIS']	2814;3818	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DISEASES_OF_HEMOSTASIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	2b875ae141fd	b27a2cb7ed12	0cb3d49740ae	0.8125	1	1	term_survival:min
M0dc6d62895a4	10	1	2	['5781', '10253']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING']	5781;10253	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	60c447f360c5	11c16ef24ba1	0dc6d62895a4	0.984375	1	1	term_survival:min
M113feee1832e	11	1	5	['2308', '2538', '5443', '5105', '847']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES']	2308;2538;5443;5105;847	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	8305dc9340ba	f023ea025777	113feee1832e	1.0	1	1	term_survival:min
M1673fd23de67	12	1	4	['1499', '4233', '595', '4286']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_CELL_CYCLE_AND_PROLIFERATION']	1499;4233;595;4286	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_CELL_CYCLE_AND_PROLIFERATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	20bccdf40861	8a700cc7fffb	1673fd23de67	0.90625	1	1	term_survival:min
M169617cee57c	13	1	4	['5018', '10240', '7284', '7818']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MITOCHONDRIAL_TRANSLATION']	5018;10240;7284;7818	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MITOCHONDRIAL_TRANSLATION	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	021e35e44768	b239743c6d1a	169617cee57c	0.890625	1	1	term_survival:min
M2535b6df1635	14	1	2	['290', '5972']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS']	290;5972	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	30e0b3d6ac20	e15e99be5368	2535b6df1635	0.78125	1	1	term_survival:min
M25c8394d544d	15	1	2	['2475', '7249']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK']	2475;7249	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	8b6d90f7198e	e77b80302f51	25c8394d544d	0.859375	1	1	term_survival:min
M2aa1103abf6e	16	1	6	['4092', '4086', '9241', '2658', '4090', '9350']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_BMP']	4092;4086;9241;2658;4090;9350	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_SIGNALING_BY_BMP	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	1e49dfa29385	b25301145e5a	2aa1103abf6e	0.890625	1	1	term_survival:min
M2c7202809bb7	17	1	4	['2786', '2791', '1742', '2901']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING']	2786;2791;1742;2901	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	90b685388b1d	b8c09d59917c	2c7202809bb7	0.984375	1	1	term_survival:min
M2f44a01366fd	18	1	2	['2784', '2769']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR']	2784;2769	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	a7b069ac7b88	e1063fb01eb9	2f44a01366fd	0.78125	1	1	term_survival:min
M3712a7f5e6cd	19	1	2	['338', '5034']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY']	338;5034	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	9530ed9c91c1	9de681ad73b7	3712a7f5e6cd	0.765625	1	1	term_survival:min
M37fb0578cc20	20	1	11	['248', '1368', '2215', '249', '251', '4061', '4062', '4978', '5281', '5283']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS']	248;1368;2215;249;251;4061;4062;4978;5281;5283	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	9e53002b5018	78a8eae9b004	37fb0578cc20	0.90625	1	1	term_survival:min
M3b1db63e477e	21	1	6	['6118', '2967', '6613', '8450', '10401', '10038']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER']	6118;2967;6613;8450;10401;10038	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_FORMATION_OF_INCISION_COMPLEX_IN_GG_NER	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	81717e52296c	de046639dcc0	3b1db63e477e	0.984375	1	1	term_survival:min
M3d7d8ab82f83	22	1	4	['8450', '10038', '86', '8607']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER']	8450;10038;86;8607	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	5cc4e5f62c9e	3dfdde24a57d	3d7d8ab82f83	0.984375	1	1	term_survival:min
M3ea57f93f973	23	1	2	['10000', '10971']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA']	10000;10971	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	ad33850dbfde	83b560b5e10c	3ea57f93f973	0.828125	1	1	term_survival:min
M4056433ac3d8	24	1	4	['9146', '5987', '7879', '1511']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS']	9146;5987;7879;1511	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	b4425d2bbd45	1d6f85d56ee6	4056433ac3d8	0.984375	1	1	term_survival:min
M408c5019ffa1	25	1	4	['5781', '8651', '3451', '3455']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING']	5781;8651;3451;3455	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_REGULATION_OF_IFNA_IFNB_SIGNALING	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	705299fc3ee8	7b7b20bf52d9	408c5019ffa1	0.953125	1	1	term_survival:min
M45cbb32554c4	26	1	4	['5034', '7296', '7295', '2878']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES']	5034;7296;7295;2878	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	393a12a86fb7	7010cbcd02e8	45cbb32554c4	0.953125	1	1	term_survival:min
M4ccfa29fa496	27	1	3	['215', '10478', '5824']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT']	215;10478;5824	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CLASS_I_PEROXISOMAL_MEMBRANE_PROTEIN_IMPORT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	f1d28631ea4f	867fb9f3e5e7	4ccfa29fa496	0.96875	1	1	term_survival:min
M51c7c7e90bc8	28	1	6	['2099', '3329', '3297', '3313', '9361', '4899']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MITOCHONDRIAL_UNFOLDED_PROTEIN_RESPONSE_UPRMT']	2099;3329;3297;3313;9361;4899	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_MITOCHONDRIAL_UNFOLDED_PROTEIN_RESPONSE_UPRMT	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	7cfde4938017	df25f805c5b3	51c7c7e90bc8	0.921875	1	1	term_survival:min
M523486a658b5	29	4	11	['1500', '9071', '5817', '1013', '283', '1364', '3224', '9074', '9075', '3611']	['fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CELL_CELL_JUNCTION_ORGANIZATION', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CELL_JUNCTION_ORGANIZATION', 'fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TIGHT_JUNCTION_INTERACTIONS']	1500;9071;5817;1013;283;1364;3224;9074;9075;3611	fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CELL_CELL_JUNCTION_ORGANIZATION;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_CELL_JUNCTION_ORGANIZATION;fgsea_msigdb_C2_CP_REACTOME_entrez:REACTOME_TIGHT_JUNCTION_INTERACTIONS	term_jaccard_cc	term_jaccard_cc	term_jaccard_cc	3	0.04	77	14	ad11879b54d0	5ba0755fead7	523486a658b5	0.875	4	4	term_survival:min
